Date,Deceased Males,Deceased Females,Deceased Transgender,Total Deceased
2000-01-01,2355,1570,0,3925
2000-02-01,2231,1364,0,3595
2000-03-01,2162,1581,0,3743
2000-04-01,2063,1386,0,3449
2000-05-01,2349,1565,0,3914
2000-06-01,2098,1276,0,3374
2000-07-01,2066,1453,0,3519
2000-08-01,1995,1367,0,3362
2000-09-01,1960,1355,0,3315
2000-10-01,2182,1471,0,3653
2000-11-01,2075,1369,0,3444
2000-12-01,2048,1319,0,3367
2001-01-01,2265,1535,0,3800
2001-02-01,1852,1394,0,3246
2001-03-01,2129,1410,0,3539
2001-04-01,2007,1334,0,3341
2001-05-01,2422,1691,0,4113
2001-06-01,1937,1311,0,3248
2001-07-01,1845,1206,0,3051
2001-08-01,2025,1258,0,3283
2001-09-01,1966,1255,0,3221
2001-10-01,2129,1414,0,3543
2001-11-01,2200,1385,0,3585
2001-12-01,2304,1405,0,3709
2002-01-01,2342,1433,0,3775
2002-02-01,1986,1235,0,3221
2002-03-01,2044,1323,0,3367
2002-04-01,1892,1249,0,3141
2002-05-01,2330,1494,0,3824
2002-06-01,1860,1180,0,3040
2002-07-01,1956,1211,0,3167
2002-08-01,1847,1205,0,3052
2002-09-01,1888,1178,0,3066
2002-10-01,1807,1188,0,2995
2002-11-01,2377,1422,0,3799
2002-12-01,2176,1440,0,3616
2003-01-01,2446,1679,0,4125
2003-02-01,2079,1338,0,3417
2003-03-01,2189,1363,0,3552
2003-04-01,2139,1337,0,3476
2003-05-01,2800,1841,0,4641
2003-06-01,2382,1559,0,3941
2003-07-01,2067,1374,0,3441
2003-08-01,2235,1469,0,3704
2003-09-01,2153,1387,0,3540
2003-10-01,2120,1356,0,3476
2003-11-01,2093,1348,0,3441
2003-12-01,2031,1396,0,3427
2004-01-01,2158,1457,0,3615
2004-02-01,1880,1331,0,3211
2004-03-01,1905,1463,0,3368
2004-04-01,1756,1342,0,3098
2004-05-01,2188,1455,0,3643
2004-06-01,1991,1461,0,3452
2004-07-01,1850,1195,0,3045
2004-08-01,1985,1387,0,3372
2004-09-01,1808,1213,0,3021
2004-10-01,2125,1478,0,3603
2004-11-01,2396,1685,0,4081
2004-12-01,2415,1680,0,4095
2005-01-01,2163,1517,0,3680
2005-02-01,1956,1372,0,3328
2005-03-01,2121,1432,0,3553
2005-04-01,2054,1401,0,3455
2005-05-01,2354,1711,0,4065
2005-06-01,2208,1725,0,3933
2005-07-01,2016,1378,0,3394
2005-08-01,2018,1497,0,3515
2005-09-01,2059,1452,0,3511
2005-10-01,2334,1608,0,3942
2005-11-01,2790,1951,0,4741
2005-12-01,2712,1959,0,4671
2006-01-01,2624,1868,0,4492
2006-02-01,2208,1607,0,3815
2006-03-01,2199,1495,0,3694
2006-04-01,2097,1505,0,3602
2006-05-01,2384,1578,0,3962
2006-06-01,2227,1430,0,3657
2006-07-01,2265,1547,0,3812
2006-08-01,2402,1608,0,4010
2006-09-01,2530,1726,0,4256
2006-10-01,2639,1732,0,4371
2006-11-01,2823,1908,0,4731
2006-12-01,2653,1845,0,4498
2007-01-01,2624,1785,0,4409
2007-02-01,2232,1483,0,3715
2007-03-01,2224,1545,0,3769
2007-04-01,2172,1462,0,3634
2007-05-01,2696,1993,0,4689
2007-06-01,2144,1488,0,3632
2007-07-01,2301,1507,0,3808
2007-08-01,2317,1573,0,3890
2007-09-01,2434,1475,0,3909
2007-10-01,2375,1560,0,3935
2007-11-01,2538,1746,0,4284
2007-12-01,2572,1832,0,4404
2008-01-01,2649,1883,0,4532
2008-02-01,2381,1613,0,3994
2008-03-01,2504,1686,0,4190
2008-04-01,2443,1703,0,4146
2008-05-01,2720,1934,0,4654
2008-06-01,2216,1492,0,3708
2008-07-01,2308,1497,0,3805
2008-08-01,2384,1574,0,3958
2008-09-01,2398,1612,0,4010
2008-10-01,2617,1710,0,4327
2008-11-01,2689,1808,0,4497
2008-12-01,2766,1840,0,4606
2009-01-01,2852,1934,0,4786
2009-02-01,2339,1613,0,3952
2009-03-01,2412,1599,0,4011
2009-04-01,2343,1571,0,3914
2009-05-01,2726,1850,0,4576
2009-06-01,2572,1894,0,4466
2009-07-01,2358,1571,0,3929
2009-08-01,2273,1559,0,3832
2009-09-01,2556,1677,0,4233
2009-10-01,2411,1679,0,4090
2009-11-01,2798,1742,0,4540
2009-12-01,3039,2027,0,5066
2010-01-01,3179,2043,0,5222
2010-02-01,2604,1696,0,4300
2010-03-01,2558,1778,0,4336
2010-04-01,2472,1664,0,4136
2010-05-01,2854,1994,0,4848
2010-06-01,2646,1736,0,4382
2010-07-01,2719,1725,0,4444
2010-08-01,2882,1836,0,4718
2010-09-01,2950,1844,0,4794
2010-10-01,2781,1851,0,4632
2010-11-01,2791,1791,0,4582
2010-12-01,3060,1963,0,5023
2011-01-01,3262,2021,0,5283
2011-02-01,2597,1777,0,4374
2011-03-01,2788,1840,0,4628
2011-04-01,2555,1746,0,4301
2011-05-01,2956,1959,0,4915
2011-06-01,2632,1774,0,4406
2011-07-01,2663,1644,0,4307
2011-08-01,2767,1682,0,4449
2011-09-01,2794,1670,0,4464
2011-10-01,2649,1680,0,4329
2011-11-01,2971,1898,0,4869
2011-12-01,2964,2010,0,4974
2012-01-01,3276,2067,0,5343
2012-02-01,2713,1824,0,4537
2012-03-01,2845,1765,0,4610
2012-04-01,2717,1707,0,4424
2012-05-01,3393,2426,0,5819
2012-06-01,3004,2157,0,5161
2012-07-01,2687,1668,0,4355
2012-08-01,2795,1716,0,4511
2012-09-01,2813,1720,0,4533
2012-10-01,2957,1870,0,4827
2012-11-01,3120,1985,0,5105
2012-12-01,3025,1917,0,4942
2013-01-01,3070,1897,0,4967
2013-02-01,2663,1752,0,4415
2013-03-01,2823,1855,0,4678
2013-04-01,2873,1923,0,4796
2013-05-01,3335,2132,0,5467
2013-06-01,2892,1781,0,4673
2013-07-01,2749,1711,0,4460
2013-08-01,2962,1777,0,4739
2013-09-01,2904,1760,0,4664
2013-10-01,2986,1949,0,4935
2013-11-01,2985,1872,0,4857
2013-12-01,3206,2189,0,5395
2014-01-01,3087,2047,0,5134
2014-02-01,2655,1742,0,4397
2014-03-01,2774,1826,0,4600
2014-04-01,2651,1706,0,4357
2014-05-01,3165,2193,0,5358
2014-06-01,3258,2242,0,5500
2014-07-01,2838,1822,0,4660
2014-08-01,2822,1708,0,4530
2014-09-01,2800,1824,0,4624
2014-10-01,2931,1813,0,4744
2014-11-01,3129,2089,0,5218
2014-12-01,3214,2212,0,5426
2015-01-01,3223,2247,0,5470
2015-02-01,2809,1926,0,4735
2015-03-01,2972,2031,0,5003
2015-04-01,2698,1770,0,4468
2015-05-01,2935,2151,0,5086
2015-06-01,2831,1857,0,4688
2015-07-01,2746,1774,0,4520
2015-08-01,2682,1805,0,4487
2015-09-01,2792,1669,0,4461
2015-10-01,2976,2009,0,4985
2015-11-01,3549,2469,0,6018
2015-12-01,3603,2546,0,6149
2016-01-01,3366,2289,0,5655
2016-02-01,2893,1883,0,4776
2016-03-01,2834,1815,0,4649
2016-04-01,2747,1892,0,4639
2016-05-01,3063,2043,0,5106
2016-06-01,2769,1883,0,4652
2016-07-01,2834,1932,0,4766
2016-08-01,2803,1906,0,4709
2016-09-01,2784,1829,0,4613
2016-10-01,2721,1807,0,4528
2016-11-01,2824,1891,1,4716
2016-12-01,3216,2181,1,5398
2017-01-01,3423,2380,0,5803
2017-02-01,2947,1989,2,4938
2017-03-01,2948,2017,2,4967
2017-04-01,2749,1971,0,4720
