death_date, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119,all_age_groups
2020-01-01,3,,,,,3,1,2,4,4,3,6,9,6,8,6,12,8,2,2,,,,,79
2020-01-02,2,,,,1,4,,2,1,7,4,6,7,8,4,5,7,8,2,2,1,,,,71
2020-01-03,1,,,1,,,3,3,,2,5,1,4,3,12,9,9,3,3,2,1,,,,62
2020-01-04,4,,,,,,1,1,4,3,3,3,13,10,10,5,6,8,2,1,,,,,74
2020-01-05,3,,,1,,2,1,,5,4,1,4,8,13,8,11,15,8,10,,,,,,94
2020-01-06,4,,,,1,2,1,2,2,3,7,3,3,8,10,10,8,7,5,,,1,,,77
2020-01-07,6,2,1,2,,3,2,2,3,4,6,4,7,9,5,7,11,6,2,2,,,,,84
2020-01-08,4,,1,,,2,1,3,2,2,4,4,3,4,11,10,8,6,1,2,,,,,68
2020-01-09,3,,,1,1,,1,,4,1,8,5,11,5,8,8,9,5,6,,1,,,,77
2020-01-10,,,,1,1,2,4,2,1,6,2,3,6,5,8,8,5,8,3,2,,,,,67
2020-01-11,3,,,1,1,1,,,1,1,4,9,4,5,15,5,11,11,2,1,1,,,,76
2020-01-12,3,,1,1,1,,,3,4,1,3,2,3,10,15,7,13,6,5,1,,,,,79
2020-01-13,,,,,,1,,,4,8,4,3,6,9,10,9,14,4,1,2,,,,,75
2020-01-14,5,,,,1,,1,2,2,2,4,4,6,5,6,12,9,5,3,1,1,,,,69
2020-01-15,3,,1,,1,1,2,2,2,1,9,6,8,5,6,9,5,7,1,2,,,,,71
2020-01-16,3,,1,1,3,3,5,3,2,2,2,12,5,11,15,8,11,3,,1,,,,,91
2020-01-17,,,,1,,1,2,1,1,3,2,4,5,10,7,8,8,5,2,1,1,,1,,63
2020-01-18,2,,,2,,,5,,3,5,5,4,9,10,8,7,6,7,8,1,1,,,,83
2020-01-19,2,,1,,1,3,1,2,4,4,4,5,8,6,11,14,14,5,6,,,,,,91
2020-01-20,4,,,1,1,1,,2,1,2,3,6,7,6,5,9,11,8,4,3,,,,,74
2020-01-21,2,,,,1,,4,2,3,2,2,8,7,5,15,13,4,4,3,1,,,,,76
2020-01-22,3,2,,,2,1,,2,2,3,2,2,11,8,14,8,6,7,,1,,,,,74
2020-01-23,3,,,,1,2,1,1,1,2,1,6,11,8,12,9,10,5,3,2,,,,,78
2020-01-24,1,,,,1,,1,2,,2,10,8,3,12,12,16,5,2,5,3,1,,,,84
2020-01-25,1,,,1,,2,1,2,3,6,4,3,9,11,8,8,6,9,2,,,,,,76
2020-01-26,4,,,1,1,3,,,2,2,6,4,8,9,10,8,10,5,1,1,,,,,75
2020-01-27,3,,,1,1,1,1,2,2,6,2,4,3,4,8,8,10,7,2,4,,,,,69
2020-01-28,2,,2,1,1,,2,,2,2,4,6,10,7,5,4,8,8,2,2,,,,,68
2020-01-29,3,,,,,,5,,1,7,8,5,6,8,6,5,7,7,4,,,,,,72
2020-01-30,5,,,,,2,1,1,3,2,3,7,3,9,8,6,5,4,3,2,,,,,64
2020-01-31,6,,,,1,1,3,2,2,2,2,6,9,7,9,9,9,5,2,2,,1,,,78
2020-02-01,3,,,1,,1,1,2,2,3,4,7,9,5,9,9,10,6,2,1,,,,,75
2020-02-02,3,,1,1,2,2,1,1,,3,2,2,14,12,11,10,8,8,3,1,,,,,85
2020-02-03,3,1,1,1,,2,3,,2,4,7,6,9,11,11,13,8,6,4,2,1,,,,95
