death_date, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119,all_age_groups
2020-01-01,5,,,,2,2,4,5,7,13,8,15,16,11,17,8,7,11,1,1,,,,,133
2020-01-02,4,,,2,2,1,,5,5,8,8,10,8,10,8,6,11,9,1,,,,,,98
2020-01-03,6,,,,2,5,3,7,7,11,14,12,15,9,12,13,3,8,5,1,,,,,133
2020-01-04,4,,1,1,3,4,4,2,4,9,7,9,4,7,12,8,10,6,3,2,,,,,100
2020-01-05,2,1,,2,3,2,4,3,13,6,4,12,8,16,13,7,7,1,2,,,,,,106
2020-01-06,1,1,,3,2,3,5,4,6,9,8,8,11,15,14,9,9,7,3,,,,,,118
2020-01-07,3,,,,4,3,3,3,6,5,12,6,8,9,12,7,8,4,2,1,,,,,96
2020-01-08,3,,1,1,1,4,1,5,8,6,10,13,8,15,10,12,9,6,2,2,,,,,117
2020-01-09,2,1,,1,3,6,2,2,5,4,10,13,10,11,10,12,8,4,3,,,,,,107
2020-01-10,4,,,1,1,2,5,5,5,5,8,13,12,10,9,4,7,3,1,1,,,,,96
2020-01-11,3,,,1,5,3,6,6,4,12,6,10,6,15,10,7,5,4,1,,,,,,104
2020-01-12,4,,2,2,1,3,1,4,5,11,14,9,14,11,14,4,8,4,2,,,,,,113
2020-01-13,2,1,,,3,1,1,5,5,8,8,12,8,7,17,11,7,6,,,,,,,102
2020-01-14,1,1,,2,3,1,1,2,6,7,11,11,11,12,10,7,4,4,1,1,,,,,96
2020-01-15,5,,,,4,2,1,2,10,5,14,7,14,11,16,7,8,7,5,,,,,,118
2020-01-16,3,,1,1,4,2,3,3,8,6,13,14,15,19,5,12,9,4,4,,,,,,126
2020-01-17,1,,1,2,6,3,6,5,8,4,8,10,11,9,15,12,11,7,1,,,,,,120
2020-01-18,5,,,4,1,2,3,2,12,7,10,13,12,13,10,5,11,3,6,1,1,,,,121
2020-01-19,4,,1,,1,2,7,5,8,6,14,10,12,12,11,8,6,4,2,1,,,,,114
2020-01-20,3,,2,,3,1,3,9,5,6,15,10,11,11,13,8,11,6,2,2,,,,,121
2020-01-21,4,1,,1,2,3,8,4,4,12,9,14,17,7,10,9,10,6,3,1,,,,,125
2020-01-22,3,,,2,6,,2,5,8,15,6,9,15,15,12,17,9,6,3,1,,,,,134
2020-01-23,4,,,,3,3,5,3,8,2,13,6,7,12,9,7,11,10,4,1,,,,,108
2020-01-24,6,,,2,3,3,5,1,2,10,13,11,14,12,14,10,6,8,2,,,,,,122
2020-01-25,4,,,,6,2,5,1,5,9,8,10,11,11,5,7,9,4,1,2,,,,,100
2020-01-26,3,,1,2,4,,5,5,8,8,13,6,14,8,9,12,3,2,4,,,,,,107
2020-01-27,3,,,1,,,4,8,5,9,12,7,7,12,9,11,8,5,3,1,,,,,105
2020-01-28,3,1,,2,,2,4,6,3,14,13,12,17,11,14,6,9,2,4,1,,,,,124
2020-01-29,4,,,1,1,2,7,4,6,7,10,8,9,12,10,8,9,9,1,1,,,,,109
2020-01-30,4,,2,3,,7,4,5,1,9,7,9,14,11,13,10,6,4,2,,,,,,111
