Year,Month,Deceased Males,Deceased Females,Deceased Transgender,Total Deceased
2000,1,2355,1570,0,3925
2000,2,2231,1364,0,3595
2000,3,2162,1581,0,3743
2000,4,2063,1386,0,3449
2000,5,2349,1565,0,3914
2000,6,2098,1276,0,3374
2000,7,2066,1453,0,3519
2000,8,1995,1367,0,3362
2000,9,1960,1355,0,3315
2000,10,2182,1471,0,3653
2000,11,2075,1369,0,3444
2000,12,2048,1319,0,3367
2001,1,2265,1535,0,3800
2001,2,1852,1394,0,3246
2001,3,2129,1410,0,3539
2001,4,2007,1334,0,3341
2001,5,2422,1691,0,4113
2001,6,1937,1311,0,3248
2001,7,1845,1206,0,3051
2001,8,2025,1258,0,3283
2001,9,1966,1255,0,3221
2001,10,2129,1414,0,3543
2001,11,2200,1385,0,3585
2001,12,2304,1405,0,3709
2002,1,2342,1433,0,3775
2002,2,1986,1235,0,3221
2002,3,2044,1323,0,3367
2002,4,1892,1249,0,3141
2002,5,2330,1494,0,3824
2002,6,1860,1180,0,3040
2002,7,1956,1211,0,3167
2002,8,1847,1205,0,3052
2002,9,1888,1178,0,3066
2002,10,1807,1188,0,2995
2002,11,2377,1422,0,3799
2002,12,2176,1440,0,3616
2003,1,2446,1679,0,4125
2003,2,2079,1338,0,3417
2003,3,2189,1363,0,3552
2003,4,2139,1337,0,3476
2003,5,2800,1841,0,4641
2003,6,2382,1559,0,3941
2003,7,2067,1374,0,3441
2003,8,2235,1469,0,3704
2003,9,2153,1387,0,3540
2003,10,2120,1356,0,3476
2003,11,2093,1348,0,3441
2003,12,2031,1396,0,3427
2004,1,2158,1457,0,3615
2004,2,1880,1331,0,3211
2004,3,1905,1463,0,3368
2004,4,1756,1342,0,3098
2004,5,2188,1455,0,3643
2004,6,1991,1461,0,3452
2004,7,1850,1195,0,3045
2004,8,1985,1387,0,3372
2004,9,1808,1213,0,3021
2004,10,2125,1478,0,3603
2004,11,2396,1685,0,4081
2004,12,2415,1680,0,4095
2005,1,2163,1517,0,3680
2005,2,1956,1372,0,3328
2005,3,2121,1432,0,3553
2005,4,2054,1401,0,3455
2005,5,2354,1711,0,4065
2005,6,2208,1725,0,3933
2005,7,2016,1378,0,3394
2005,8,2018,1497,0,3515
2005,9,2059,1452,0,3511
2005,10,2334,1608,0,3942
2005,11,2790,1951,0,4741
2005,12,2712,1959,0,4671
2006,1,2624,1868,0,4492
2006,2,2208,1607,0,3815
2006,3,2199,1495,0,3694
2006,4,2097,1505,0,3602
