Year,Week,Deceased Males,Deceased Females,Deceased Transgender,Total Deceased
2000,1,588,365,0,953
2001,1,513,389,0,902
2002,1,570,325,0,895
2003,1,551,387,0,938
2004,1,502,321,0,823
2005,1,480,348,0,828
2006,1,615,436,0,1051
2007,1,615,434,0,1049
2008,1,590,385,0,975
2009,1,622,436,0,1058
2010,1,728,479,0,1207
2011,1,708,453,0,1161
2012,1,826,482,0,1308
2013,1,677,419,0,1096
2014,1,753,471,0,1224
2015,1,755,489,0,1244
2016,1,776,541,0,1317
2017,1,787,547,0,1334
2018,1,799,577,0,1376
2019,1,793,536,1,1330
2020,1,784,541,0,1325
2021,1,860,550,0,1410
2000,2,552,385,0,937
2001,2,521,362,0,883
2002,2,520,323,0,843
2003,2,561,383,0,944
2004,2,479,344,0,823
2005,2,490,355,0,845
2006,2,557,400,0,957
2007,2,579,383,0,962
2008,2,598,420,0,1018
2009,2,669,455,0,1124
2010,2,782,485,0,1267
2011,2,767,488,0,1255
2012,2,668,449,0,1117
2013,2,657,416,0,1073
2014,2,653,448,0,1101
2015,2,716,489,0,1205
2016,2,771,501,0,1272
2017,2,745,479,0,1224
2018,2,746,517,0,1263
2019,2,826,594,0,1420
2020,2,735,511,2,1248
2021,2,789,596,0,1385
2000,3,451,307,0,758
2001,3,503,338,0,841
2002,3,555,343,0,898
2003,3,530,382,0,912
2004,3,490,363,0,853
2005,3,506,364,0,870
2006,3,584,449,0,1033
2007,3,606,418,0,1024
2008,3,567,454,0,1021
2009,3,634,425,0,1059
2010,3,711,443,0,1154
2011,3,755,418,0,1173
2012,3,735,473,0,1208
2013,3,711,433,0,1144
2014,3,709,432,0,1141
2015,3,676,497,0,1173
2016,3,805,542,0,1347
2017,3,781,535,0,1316
2018,3,748,534,0,1282
2019,3,826,571,0,1397
2020,3,845,549,0,1394
2021,3,859,584,0,1443
2000,4,523,364,0,887
2001,4,486,286,0,772
2002,4,503,304,0,807
2003,4,570,329,0,899
2004,4,475,305,0,780
2005,4,466,315,0,781
2006,4,599,401,0,1000
2007,4,578,392,0,970
2008,4,638,436,0,1074
2009,4,657,446,0,1103
2010,4,677,445,0,1122
2011,4,738,480,0,1218
2012,4,733,463,0,1196
2013,4,725,445,0,1170
2014,4,679,486,0,1165
2015,4,770,554,0,1324
2016,4,710,518,0,1228
2017,4,783,584,0,1367
2018,4,732,532,0,1264
2019,4,815,607,0,1422
2020,4,800,524,0,1324
2021,4,821,581,0,1402
2000,5,545,361,0,906
2001,5,520,372,0,892
2002,5,466,305,0,771
2003,5,583,427,0,1010
2004,5,465,311,0,776
2005,5,479,328,0,807
2006,5,605,445,0,1050
2007,5,566,382,0,948
2008,5,620,406,0,1026
2009,5,647,430,0,1077
2010,5,650,424,0,1074
2011,5,671,455,0,1126
2012,5,686,464,0,1150
2013,5,669,457,0,1126
2014,5,682,459,0,1141
2015,5,691,460,0,1151
2016,5,730,465,0,1195
2017,5,757,496,2,1255
2018,5,775,565,0,1340
2019,5,747,550,0,1297
2020,5,749,548,0,1297
2021,5,762,565,0,1327
2000,6,562,335,0,897
2001,6,491,347,0,838
2002,6,519,312,0,831
2003,6,531,338,0,869
2004,6,447,329,0,776
2005,6,487,345,0,832
2006,6,566,404,0,970
2007,6,593,404,0,997
2008,6,580,412,0,992
2009,6,590,410,0,1000
2010,6,680,448,0,1128
2011,6,648,487,0,1135
2012,6,643,450,0,1093
2013,6,712,433,0,1145
2014,6,670,443,0,1113
2015,6,706,532,0,1238
2016,6,701,439,0,1140
2017,6,731,473,0,1204
2018,6,796,593,0,1389
2019,6,754,514,0,1268
2020,6,791,515,0,1306
2021,6,771,537,0,1308
2000,7,551,332,0,883
2001,7,372,346,0,718
2002,7,516,304,0,820
2003,7,528,358,0,886
2004,7,481,316,0,797
2005,7,521,348,0,869
2006,7,614,395,0,1009
2007,7,531,367,0,898
2008,7,583,388,0,971
2009,7,588,395,0,983
2010,7,654,438,0,1092
2011,7,659,435,0,1094
2012,7,712,457,0,1169
2013,7,686,440,0,1126
2014,7,646,466,0,1112
2015,7,724,496,0,1220
2016,7,712,459,0,1171
2017,7,742,503,0,1245
2018,7,758,519,1,1278
2019,7,757,526,0,1283
2020,7,754,526,0,1280
2021,7,833,531,0,1364
2000,8,549,313,0,862
2001,8,524,335,0,859
2002,8,475,323,0,798
2003,8,476,293,0,769
2004,8,435,320,0,755
2005,8,467,340,0,807
2006,8,478,387,0,865
2007,8,556,327,0,883
2008,8,527,359,0,886
2009,8,563,381,0,944
2010,8,629,400,0,1029
2011,8,644,400,0,1044
2012,8,622,429,0,1051
2013,8,605,430,0,1035
2014,8,696,403,0,1099
2015,8,691,472,0,1163
2016,8,687,461,0,1148
2017,8,736,524,0,1260
2018,8,787,490,0,1277
2019,8,743,508,0,1251
2020,8,726,496,1,1223
2021,8,784,518,0,1302
2000,9,512,330,0,842
2001,9,471,328,0,799
2002,9,473,281,0,754
2003,9,462,307,0,769
2004,9,446,341,0,787
2005,9,501,326,0,827
2006,9,484,355,0,839
2007,9,538,374,0,912
2008,9,598,411,0,1009
2009,9,560,402,0,962
2010,9,632,415,0,1047
2011,9,650,457,0,1107
2012,9,646,391,0,1037
2013,9,649,431,0,1080
2014,9,663,441,0,1104
2015,9,709,451,0,1160
2016,9,641,435,0,1076
2017,9,691,476,1,1168
2018,9,701,487,0,1188
2019,9,761,541,0,1302
2020,9,694,516,0,1210
2021,9,785,516,0,1301
