time,year,value,gender,age_group,time_unit
1,2015,489,females,,weekly
1,2016,541,females,,weekly
1,2017,547,females,,weekly
1,2018,577,females,,weekly
1,2019,536,females,,weekly
1,2020,541,females,,weekly
1,2021,554,females,,weekly
1,2022,617,females,,weekly
2,2015,489,females,,weekly
2,2016,501,females,,weekly
2,2017,479,females,,weekly
2,2018,517,females,,weekly
2,2019,594,females,,weekly
2,2020,511,females,,weekly
2,2021,604,females,,weekly
2,2022,668,females,,weekly
3,2015,497,females,,weekly
3,2016,542,females,,weekly
3,2017,535,females,,weekly
3,2018,534,females,,weekly
3,2019,571,females,,weekly
3,2020,549,females,,weekly
3,2021,587,females,,weekly
3,2022,729,females,,weekly
4,2015,554,females,,weekly
4,2016,518,females,,weekly
4,2017,584,females,,weekly
4,2018,532,females,,weekly
4,2019,607,females,,weekly
4,2020,524,females,,weekly
4,2021,586,females,,weekly
4,2022,798,females,,weekly
5,2015,460,females,,weekly
5,2016,465,females,,weekly
5,2017,496,females,,weekly
5,2018,565,females,,weekly
5,2019,550,females,,weekly
5,2020,548,females,,weekly
5,2021,567,females,,weekly
5,2022,656,females,,weekly
6,2015,532,females,,weekly
6,2016,439,females,,weekly
6,2017,473,females,,weekly
6,2018,593,females,,weekly
6,2019,514,females,,weekly
6,2020,515,females,,weekly
6,2021,545,females,,weekly
6,2022,606,females,,weekly
7,2015,496,females,,weekly
7,2016,459,females,,weekly
7,2017,503,females,,weekly
7,2018,519,females,,weekly
7,2019,526,females,,weekly
7,2020,526,females,,weekly
7,2021,538,females,,weekly
7,2022,540,females,,weekly
8,2015,472,females,,weekly
8,2016,461,females,,weekly
8,2017,524,females,,weekly
8,2018,490,females,,weekly
8,2019,508,females,,weekly
8,2020,496,females,,weekly
8,2021,523,females,,weekly
8,2022,531,females,,weekly
9,2015,451,females,,weekly
9,2016,435,females,,weekly
9,2017,476,females,,weekly
9,2018,487,females,,weekly
9,2019,541,females,,weekly
9,2020,516,females,,weekly
9,2021,521,females,,weekly
9,2022,479,females,,weekly
10,2015,488,females,,weekly
10,2016,406,females,,weekly
10,2017,499,females,,weekly
10,2018,461,females,,weekly
10,2019,513,females,,weekly
10,2020,464,females,,weekly
10,2021,554,females,,weekly
10,2022,500,females,,weekly
11,2015,469,females,,weekly
11,2016,433,females,,weekly
11,2017,485,females,,weekly
11,2018,470,females,,weekly
11,2019,464,females,,weekly
11,2020,489,females,,weekly
11,2021,514,females,,weekly
11,2022,451,females,,weekly
12,2015,438,females,,weekly
12,2016,376,females,,weekly
12,2017,418,females,,weekly
12,2018,477,females,,weekly
12,2019,503,females,,weekly
12,2020,470,females,,weekly
12,2021,564,females,,weekly
12,2022,471,females,,weekly
13,2015,434,females,,weekly
13,2016,411,females,,weekly
13,2017,424,females,,weekly
13,2018,450,females,,weekly
13,2019,483,females,,weekly
13,2020,446,females,,weekly
13,2021,607,females,,weekly
13,2022,362,females,,weekly
14,2015,415,females,,weekly
14,2016,458,females,,weekly
14,2017,471,females,,weekly
14,2018,453,females,,weekly
14,2019,447,females,,weekly
14,2020,428,females,,weekly
14,2021,655,females,,weekly
14,2022,220,females,,weekly
15,2015,393,females,,weekly
15,2016,417,females,,weekly
15,2017,414,females,,weekly
15,2018,483,females,,weekly
15,2019,446,females,,weekly
15,2020,400,females,,weekly
15,2021,728,females,,weekly
15,2022,44,females,,weekly
16,2015,433,females,,weekly
16,2016,419,females,,weekly
16,2017,463,females,,weekly
16,2018,430,females,,weekly
16,2019,477,females,,weekly
16,2020,436,females,,weekly
16,2021,880,females,,weekly
17,2015,409,females,,weekly
17,2016,456,females,,weekly
17,2017,506,females,,weekly
17,2018,494,females,,weekly
17,2019,455,females,,weekly
17,2020,449,females,,weekly
17,2021,1414,females,,weekly
18,2015,437,females,,weekly
18,2016,443,females,,weekly
18,2017,436,females,,weekly
18,2018,465,females,,weekly
18,2019,516,females,,weekly
18,2020,461,females,,weekly
18,2021,1908,females,,weekly
19,2015,486,females,,weekly
19,2016,448,females,,weekly
19,2017,465,females,,weekly
19,2018,469,females,,weekly
19,2019,537,females,,weekly
19,2020,563,females,,weekly
19,2021,2252,females,,weekly
20,2015,428,females,,weekly
20,2016,440,females,,weekly
20,2017,595,females,,weekly
20,2018,469,females,,weekly
20,2019,530,females,,weekly
20,2020,619,females,,weekly
20,2021,2164,females,,weekly
21,2015,597,females,,weekly
21,2016,488,females,,weekly
