death_date, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119
2015-01-01,6,2,,,3,4,4,5,9,14,12,15,13,29,24,12,18,9,2,5,1,,,
2015-01-02,7,1,2,2,3,4,3,9,10,11,11,17,19,13,18,11,16,6,6,4,,,,
2015-01-03,18,,3,1,3,3,5,9,6,14,14,23,13,20,16,28,13,9,4,4,,,,
2015-01-04,7,,,2,5,4,3,3,2,7,13,11,12,16,21,13,17,7,3,2,1,,,
2015-01-05,13,1,,,3,6,6,4,10,10,6,16,13,11,13,12,18,15,4,2,1,,,
2015-01-06,11,2,,4,2,1,2,6,9,7,17,27,14,14,20,9,16,11,6,,,,,
2015-01-07,3,,,1,1,3,6,4,14,14,9,15,18,26,19,21,16,9,7,1,,,,
2015-01-08,10,1,1,2,5,,5,7,7,7,4,13,16,20,17,9,10,9,1,5,,,,
2015-01-09,15,1,1,1,3,1,5,3,9,10,8,12,19,20,21,10,22,8,6,5,,,,
2015-01-10,11,1,1,1,4,7,4,7,8,8,16,13,16,14,9,10,17,11,9,,1,,,
2015-01-11,19,,,1,4,9,3,6,6,9,9,17,12,11,11,22,12,16,7,2,,,,
2015-01-12,5,1,,3,2,12,4,10,6,15,16,11,14,13,18,20,19,9,5,1,1,,,
2015-01-13,10,,2,4,4,4,3,8,8,9,12,13,20,14,17,14,15,5,11,2,1,,,
2015-01-14,9,,,3,1,2,4,5,4,14,15,17,15,14,17,19,15,10,6,1,,,,
2015-01-15,8,2,1,,2,5,4,4,10,15,9,15,17,14,11,17,9,10,6,5,1,,,
2015-01-16,11,2,2,6,7,4,2,6,1,10,8,11,15,16,9,11,19,10,6,4,1,,,
2015-01-17,10,,,1,5,1,4,6,4,5,14,15,15,18,11,13,8,8,7,,,,,
2015-01-18,10,,1,2,5,4,5,9,6,10,8,14,15,22,18,15,11,18,5,2,,,,
2015-01-19,7,1,1,1,4,4,6,5,9,6,15,14,16,16,16,13,15,13,10,3,1,,,
2015-01-20,3,1,1,6,5,5,4,6,2,9,16,10,18,19,12,19,15,8,7,1,,,,
2015-01-21,8,1,1,2,5,4,8,4,7,12,5,14,19,16,9,24,17,11,10,3,,,,
2015-01-22,14,1,2,2,2,6,4,11,6,11,13,16,19,21,25,16,21,16,5,2,3,,,
2015-01-23,12,2,1,2,5,2,5,7,6,10,10,16,26,15,18,20,13,13,8,2,,,,
2015-01-24,14,,3,1,4,5,7,5,5,12,10,25,21,20,21,16,14,9,13,3,,,,
2015-01-25,7,,,2,4,3,3,4,3,9,18,13,22,16,18,22,22,11,5,3,,,,
2015-01-26,5,,,2,3,2,11,9,11,8,11,13,17,20,16,13,18,13,5,3,,,,
2015-01-27,7,1,,,1,5,6,10,9,14,10,19,12,24,22,10,9,15,5,,1,,,
2015-01-28,17,1,1,1,1,6,3,6,6,13,17,18,9,21,11,6,9,8,8,,,,,
2015-01-29,8,,1,1,1,7,3,6,6,11,8,14,17,21,12,11,16,12,3,1,,,,
2015-01-30,9,,,3,2,6,5,10,7,11,10,21,18,16,14,14,15,13,6,3,,,,
