year,month, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119
2020,1,-59.33960539,0.738263253,-8.249370198,-3.21213518,-2.742305953,-11.94372221,28.00622192,-27.64662706,30.70549428,-4.83052787,10.98104138,-32.51544303,-38.65324925,-58.57814963,-17.07514494,-41.12373967,-5.45417179,-34.09804238,-26.18434025,-4.74176469,0.20780541,1.357854042,1.127536007,0.112228641
2020,2,-54.64083683,-0.301780968,-3.24009403,-6.223515429,-14.45670803,-23.29230997,4.861014396,-20.36188181,6.296250364,-63.42998423,-18.80980796,-23.44916182,15.07181892,-18.59070718,28.97043469,-60.87274498,-0.68920649,-14.34833976,1.116362284,3.850528015,2.794090465,2.379355398,0.223614061,0.106266656
2020,3,-57.76490252,6.58307575,-6.020028724,-24.59122764,-22.94704857,-36.01499019,-10.78875725,-30.55029386,-21.12077034,-59.48229838,-73.69407564,-21.41767162,-45.87875796,-54.91678984,-60.08999507,-69.20529918,-29.00166586,-33.82319736,2.251451186,-6.76271578,6.442769498,3.741339919,0.032021136,0.128721445
2020,4,-104.7395945,-4.417843255,-12.40239886,-17.25158687,-68.7905513,-59.331855,-59.83399087,-87.55978301,-65.19530825,-108.9847651,-118.0286158,-150.1475734,-113.3454443,-84.30505482,-68.67970488,-88.50145041,-35.72442726,-52.51488679,-14.6296001,1.538503955,-3.014583548,0.814311183,-0.063602515,0.123995224
2020,5,-76.91583315,6.634768565,-8.349711111,-32.12937926,-43.50800784,-28.18271038,-40.60793747,-66.50349001,10.5259712,-60.28384216,8.15224072,28.27981003,127.0563448,140.8458844,216.6709487,147.7713734,180.464481,29.11190865,41.3473438,-9.40535672,0.827289817,-0.383101698,0.276665293,-0.045230192
2020,6,-88.47267548,2.037237631,-4.318447781,-31.14951837,-50.11484982,-43.40105663,-15.25649138,-27.99036914,55.62654463,36.04203487,117.4964583,216.2913529,287.4246645,415.9401392,480.7801508,303.4626835,303.4620474,154.5752266,77.9069676,11.6280535,8.45666809,-1.020449065,0.160786154,0.14998607
2020,7,-85.99147034,1.948567192,-14.44830417,-15.13454103,-39.95139269,-40.33553707,-37.41132245,-43.88391868,8.203558376,-20.10964363,39.20639613,114.7286446,154.2131833,154.9935115,167.0857643,164.8210735,135.9509376,30.83975735,51.45572038,-11.8308535,3.479456424,1.344483799,-0.394094334,0.147801958
2020,8,-72.14035403,4.343459894,-4.358596057,-18.11654201,-40.39011317,-20.66932773,-21.12285536,0.673549702,24.0740468,-1.732563695,99.11371485,168.5047172,152.7547102,130.347699,305.5437254,196.9017988,123.73783,69.63468385,34.07911394,4.32396408,8.482895786,1.659565962,0.264461515,0.173640715
2020,9,-77.40433996,12.90022144,-4.576048051,-17.88712248,-16.76965281,9.833897642,7.247827754,-5.828338393,46.1837613,78.24146893,142.882662,162.0223461,261.9825096,198.5383297,282.3421613,126.7054078,187.7230167,51.79976426,17.87408226,-3.522405848,3.529597744,1.271697367,1.116113596,0.017140627
2020,10,-93.05430002,8.339057708,-11.91031759,-12.76370874,-36.00955796,-29.10997073,-9.950966686,-14.65170595,22.72253432,-25.82186423,14.46904107,113.4710563,173.5298171,127.4206519,228.9271875,95.23089261,111.8304434,29.9569192,24.25072523,-15.28169367,1.48244092,1.775453756,2.276487947,0.170288364
2020,11,-63.30755104,18.22418921,-7.887788524,2.475616014,-11.60690145,-21.79878572,-15.87747268,-41.72028665,7.267258446,-11.96893167,-2.82187501,-4.87158017,36.80518328,11.2130372,175.6638698,36.64866517,34.96147675,18.66723513,-3.704567965,-18.08485296,4.621900454,0.6502918,-0.132848774,1.186443898
2020,12,-82.26699777,13.80337394,1.774521507,-12.00697312,-23.34660647,-21.21226618,-9.071841486,-33.48636048,19.2030349,-1.303806416,35.36744295,43.71739916,66.15208681,83.90983946,169.0486894,83.1654947,157.1513473,42.62666766,37.39235646,-3.665615995,0.684521419,-1.170067217,0.32852341,0.203482747
2021,1,-96.27285428,23.42427823,2.12454117,8.392264369,4.471924004,-5.239975211,12.77607109,-3.5325968,62.45310022,23.40365144,6.13093222,85.5634125,87.71870801,94.39403212,125.8313498,78.88709626,84.71152455,2.574652447,66.35821284,-5.089485794,-1.951419838,-0.554056198,0.257872252,0.217453544
2021,2,-109.0490675,14.17712346,6.848079036,8.339326229,13.22312375,-18.5968895,8.508098359,-2.857873068,31.84767313,34.64787956,33.72789588,82.17829204,82.97799377,84.11706041,115.0885433,58.49006058,47.26608452,14.67944465,25.83021939,0.071263496,3.934369256,0.691921938,0.326575228,0.203163055
