year,Week, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119
2020,1,7.6,-3.8,-4.6,-4.6,-4,5.2,-4.4,1,12.2,12.6,2.8,-15.6,-9.6,-5.6,7.4,-9.6,7.6,8.8,2.4,-0.4,-1,0.6,0,0
2020,2,-13.2,-4.4,-0.2,-3.2,-2.2,-6.2,-11.6,-5.8,2.4,-1.2,5,-0.4,-17.2,1.2,31,2.2,10.4,-1.2,-13.6,-2.6,0.4,-0.2,-0.4,0
2020,3,-5.8,-4.8,1.4,-4.6,0.2,-5.6,18,0.4,16.6,-15,23.6,19.4,14.6,-1,19.4,8.2,15.6,-10.2,-0.6,-1.2,0.6,0,1,0
2020,4,-4,-2.2,-4.4,-0.6,5.6,-9.4,1.6,-7,-4.4,15,16.8,-20.6,17.4,2.4,5.6,15.2,-9.4,-9.4,-8.4,5.6,-2.4,-0.4,0,0
2020,5,17.2,-3.4,-0.2,3,-3.6,-8.4,19,-14,-5,4.2,-2.4,5.2,14.8,11,17.4,8.6,0,-10.4,-4.4,-0.2,0.6,0.2,0,0
2020,6,-4.2,-3.2,0.8,-2.6,6.4,-3,1.6,-5,14.8,-26,-13.4,9.4,22.8,-2.8,31,-19.2,27.4,14.6,4.8,3.8,-1.2,0,0,0
2020,7,17,-3.2,-1.2,3.4,-4,-11.4,3.8,7.4,-13,-11,-0.8,-9.6,13.2,16.6,24,-5.6,7.2,-4.8,11.4,0,0.8,0.8,0,0
2020,8,-11.6,-4.2,-5.2,-5.2,-8.8,0.4,-10,-13.6,6.6,-13.8,27.2,10.8,-5.2,-3.6,29.8,3.6,-0.2,-3.6,0.6,5.6,0.8,0.8,0,0
2020,9,-11,-4.4,-2,-7.6,-3.2,-16.6,0,3,-7.2,-4.4,12.2,17,18,16.4,21,10.2,-9.8,2.2,-3.6,1.2,-0.8,-0.2,0,0
2020,10,4.2,-4.6,-4.2,-7.6,-9.8,-10.2,-5,-6.6,7.8,-29,-17.8,-5.4,27.6,11.2,8.2,2,-1.6,-0.8,-3.8,3.4,-0.2,0.6,0,-0.2
2020,11,-2.6,-1.8,1.2,-5.6,-4,-3.8,-7.4,-5.8,0,5,-6.4,11.2,-5.6,16.6,6,3.6,15.4,-9.8,-4.8,0.8,0.4,0,0,0
2020,12,0.6,-2,0,-4.2,-3.6,-7.8,7.4,-6.6,-12.4,-4.4,15,16.4,11,10.2,9.6,-3.8,6.4,6.2,14,-0.6,-0.8,3,-0.2,0
2020,13,-0.6,-0.6,-2.2,-5.8,-10.6,-15.2,-5.6,-3,-7.6,-15,-25.8,0.2,7.4,-7.6,20.4,2.4,-10.8,5.6,10,0.6,3.8,-0.2,0,0
2020,14,-20.2,-6.8,-3.2,-8.2,-14.8,-10.2,-25.6,-11.6,-9.4,-11.4,0.6,-24.8,-17,-3.6,16.2,-7.2,18.6,13.4,2.8,7.8,-0.6,0.8,0,0
2020,15,-9.6,-5.6,-4.2,-1.4,-15.6,-16.4,-5.4,-11.6,-14.6,-14.6,-15,-10.8,-8.8,-1.6,2.6,-20.6,5.2,2.8,1.8,9.8,-1.6,-0.2,0,0
2020,16,-9.6,-5.2,-4.6,-5.6,-16.6,-17.8,-10.2,-28.2,-12,-24,-20.4,-30.4,3.2,23.4,7,2.2,0,-10.4,5.4,-1.8,-2,0,0,0
2020,17,-4,-3.8,-3,-0.6,-17,-7.6,-12.6,-15.4,-20.4,-22.6,-17,-21.2,-1,-9.8,27.2,8,7,-21.4,0,2,1.4,0,-0.2,0
2020,18,0.8,-2.8,-2.4,-4.2,-15.2,-14.2,-27.6,-27.4,-21,-9.4,-17,-5,8.8,6.4,1.4,0,20.4,6.4,-1.2,5,-2.2,-0.4,-0.2,0
2020,19,-3.6,-3,-4,-13,-13,-10,-4.8,-21.4,-6.6,-12,-17.2,-5.2,25.6,13,28,23,34.6,-0.4,16.2,-1.6,-2.2,0.2,0,0
2020,20,-6.4,-1.4,-1.4,-10.6,-7.2,-10.4,-18,-21.6,-2.6,-26.6,-1.6,-1.4,18.6,23.4,81,43,38.8,2,12,2.2,-0.2,-1,0,-0.2
2020,21,0.4,-3.4,-3.4,-6.2,-8.2,-2.4,-5.8,-5.6,22,0.6,36.8,34.8,73.4,104.8,105.4,101.8,97.8,35.4,16.4,-7.4,1.2,0,0,0
2020,22,6.8,-4.6,-1.4,-7.6,-18.2,-5.8,0,8,10.6,20.8,54.2,72.8,103.8,113.6,163,71.4,77.2,46.6,20.2,3,1,-0.2,0,0
2020,23,-5.2,-1.4,1,-10,-10.8,-5.8,-5.4,-0.2,3.8,14.8,47.4,79,81,148.2,153.2,96.2,83,52.4,22,4,3,0,0,0
2020,24,-3.8,-5.4,-3,-7.8,-15.2,1.2,-2.4,3.4,28.2,15.8,43.6,71.8,85,99.4,127,80.8,55.8,35.6,19.2,7.6,2.2,-0.8,-0.2,0
2020,25,-2.6,-5.4,2.4,-8.2,-17.8,-22.2,-8.2,-12.4,-3.6,-2.2,32.2,31.2,70.6,112.4,146.8,101.6,108,50.4,20.2,3.2,2.8,0,0,0
2020,26,-1.8,-4.8,-3.8,-10.8,-9,-17,-7.6,-8.2,17.4,2.8,31.4,48.8,101.2,94.2,101.6,70.8,74.2,31.8,22.8,5.2,0.6,-0.2,0,0
2020,27,-16,-5.6,-1.6,-8.4,-10.6,-13.2,-7,1,10.6,9.4,15.6,43.4,82.6,67,59.2,67,46.4,10.6,15.4,-0.4,-0.6,-1,0,0
2020,28,6.4,-2.8,-3.2,0,-9,-19.8,-11.2,-9.4,-0.8,-12.8,17.4,38.4,36.4,56.6,114.8,63.2,48.4,31.4,18.6,4,2.4,-0.4,0,0
2020,29,1,-2.6,-3.2,-1.8,-11.8,1,-12.8,-11.4,-2.2,3.4,19.8,27.6,50.4,42.2,45.8,46.8,54.6,-5.2,13.2,-3.4,-1,0.6,-0.2,0
2020,30,8.2,-5.4,-4,-4.4,-5.2,-11.8,-1,-5.8,9.4,-9,27.4,28.2,42.2,56.4,45.2,56.6,34.2,21.4,26,-2.4,0,1,-0.4,0
2020,31,-8.6,-4,-3.6,-5.4,-8.4,-2.6,-8.8,-13.2,8.8,19.2,38.6,60,51.8,48.6,59.2,38.6,22,39,2,3.2,1.2,1,0,0
2020,32,-9.2,-1.6,0.8,-2,-8.4,-7,-11,-13.2,7.8,3.4,37.2,34.6,20,25,93.6,50.4,49,16.2,15,-2.2,4.4,-0.4,0,0
2020,33,0.8,-2.2,-6.4,-12.2,-4,1.4,-7.8,18.4,5.4,6.8,31.4,54.4,45.8,33.4,127.2,77.8,31.6,19.8,12.4,5.8,0.4,-0.2,0,0
2020,34,3.8,-7.6,2,-5.2,-8,-8.6,-5,11.2,6.6,-11.8,27.2,38.4,69.2,82,74.6,54.2,52.2,39.8,17.4,7.4,2.2,0,0,0
2020,35,2.8,-1.8,-1.4,-0.6,-10.8,-8,0.8,3.4,2.2,17.6,36,63.6,84.2,64.8,125.6,97,76.4,35.2,14.8,10.4,0,2,0,0
2020,36,2.2,-4.4,-2.8,-10.4,-6.8,-0.8,-14.2,6,11.6,27.4,39.2,44.4,71.8,92.2,105.8,83.8,74.4,26.6,12.8,3.4,1.8,-0.6,1,0
2020,37,-10.2,1,-2.8,-5.6,-7.8,-5.2,0.2,-4.2,17.2,23.8,44,36.4,66,47.4,64,45.4,44.8,16.8,3.6,1.8,-0.8,0.8,0,0
2020,38,2.2,-1.2,-1.8,3.6,0.2,2.8,-0.8,6,8.6,23.2,35.8,52.6,104,54.8,89.6,27.2,52.2,19.6,7.4,-2.4,0.4,-0.2,-0.2,0
