year,week, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119
2020,1,-5.38539549,1.107240068,-3.941775547,-0.893192941,-2.40051187,6.50136155,1.397783094,-3.348467334,17.48421854,9.31418477,-3.1292867,-11.5181469,-7.58505494,-6.60776884,3.02285439,-13.76900307,12.84202307,10.01199014,3.54956911,-0.245703045,0.350858205,0.809458266,0.06648993,0.033921787
2020,2,-23.04268202,0.608222177,-0.900548199,-2.751606021,-1.793985631,-3.228178477,-9.364720568,-7.03412659,3.273400078,-8.66581213,-2.39743241,-4.20505499,-21.90866661,-17.06237148,10.09327853,-9.4842108,8.19796083,-2.66523779,-11.10235723,-1.989199123,1.849322367,-0.004709209,-0.072661445,0.018710537
2020,3,-19.86293008,-2.173454706,1.43387285,-3.122282753,1.191101514,-6.349459963,19.10726916,-4.136165423,15.49123594,-15.88329351,9.79802647,6.77895641,-0.07838627,-16.68600259,-4.20336213,-5.73548883,3.2631219,-14.57693836,-3.122669037,-2.617864335,0.607981162,0.01574167,1.003124589,0.032229324
2020,4,-13.94207797,1.085314321,-3.741292805,-1.225302541,4.612911951,-10.05683276,4.809545328,-7.879585212,-2.632972801,11.81434168,10.19632162,-25.48784959,0.94330508,-12.33460694,-15.73396304,-1.84785897,-16.8030034,-19.1566362,-11.3110349,1.588139591,-1.682892457,-0.235334598,0.094935661,0.018419388
2020,5,1.817968735,-0.921739953,0.179255315,3.149668776,-3.643156344,-3.189497991,17.62019059,-11.9062725,-4.976387578,0.921178126,-10.91810712,-10.17392537,0.47023616,-6.51253482,-2.87287987,-5.67318309,-15.48681408,-10.93313748,-2.972013141,-0.029984472,0.973783202,0.576514192,0.066870624,0.009906277
2020,6,-16.7239928,3.137074272,1.958726535,-0.555721919,1.375157639,-1.4132094,2.217633495,-3.413882499,14.69862613,-24.58142069,-19.92585607,2.66738016,10.690918,0.10955061,14.77777759,-28.72965971,30.59564027,13.22565261,0.306434681,1.821144598,-0.056152277,0.905530264,0.050590241,0.031345154
2020,7,-0.053336737,1.014340798,-0.140614939,1.658268833,-4.254030671,-6.95769746,4.174209657,3.199006947,-8.048169277,-16.37908284,-8.83657128,-19.44784201,-1.65722766,-1.36443851,1.91876039,-21.21671581,-4.27317328,-11.55833528,9.346750816,-1.931505806,1.017617203,0.731970176,0.016095489,0.024833564
2020,8,-19.98494576,-2.00070717,-5.147568363,-2.533746518,-6.818029643,-1.315105066,-8.743818326,-15.07644274,2.560748432,-14.73592299,14.05139303,1.91374266,-21.04861037,-19.08361561,4.06286572,-12.37356007,-10.52866999,-11.45070619,-1.944690593,1.361804198,1.044719705,1.035188291,0.088104022,0.056203855
2020,9,-22.73285127,-0.961191538,-2.789954285,-8.0066955,-4.632057452,-14.65137007,-0.165670753,0.22372803,-7.413495031,-8.48384925,0.03295594,2.25320469,-6.40677596,-6.72939256,-6.05083528,-9.44398055,-21.48013145,-9.2228229,-7.853171759,-0.169310555,-0.136636699,-0.282667153,0.061930379,-0.015920928
2020,10,-6.409374089,-0.001149714,-3.057438744,-6.57567389,-7.093479518,-7.834600393,-6.458928136,-4.931845637,6.652023287,-29.71882634,-20.86377489,-14.15102578,15.53509269,-6.85717216,-16.3595999,-12.12177335,1.47741429,-7.310824808,-6.615739069,0.176511574,0.924488015,0.837986409,0.062054592,0.032722763
2020,11,-18.08760674,1.054968536,0.461980733,-4.790064303,-2.750440776,-2.069960582,-4.934978621,-9.719839358,-0.069284868,-4.17743505,-20.44918928,-1.39033865,-20.5222594,-7.70187083,-19.25071048,-17.21211303,1.02051708,-14.22438913,-9.391449252,-1.516264296,0.730757558,0.062438109,0.0099437,0.037808792
2020,12,-12.63065818,2.284817314,1.011925376,-3.673538207,-2.406881119,-7.712524558,7.322424495,-9.32225217,-13.04294584,-6.32731284,5.19087264,5.71636017,-7.34057451,-6.49640393,-17.24164706,-16.97482112,-4.06933691,-0.11798264,11.22440101,-2.692825502,-0.380988206,3.017379387,-0.046590228,0.046593925
2020,13,-14.70746234,2.78582363,-2.836060879,-4.706991267,-11.53266064,-12.97394719,-4.902460358,-5.212658245,-8.096022715,-20.83955942,-34.27219417,-10.33773727,-10.5521845,-24.75901899,-0.35724418,-16.61941543,-19.90059247,-4.290211474,7.069442594,-1.408895282,4.201807595,0.009053555,-0.01771635,0.020442304
2020,14,-34.16657975,-2.518153213,-2.195578016,-8.228556965,-17.44830612,-12.39004722,-23.07626175,-16.0396642,-8.871801436,-22.13736173,-17.36676407,-43.50005008,-43.30498329,-37.45561701,-24.9179205,-23.23919399,-1.11976918,-3.57945436,-4.952832227,3.283739375,-1.542972241,0.757691949,0.019043186,0.024016013
2020,15,-30.84119659,-0.736201288,-4.084669379,-3.380223121,-14.9937855,-19.1510677,-10.09772245,-18.7602842,-16.97388355,-26.53853024,-36.44459505,-27.77620559,-36.39923544,-26.04853761,-28.70325349,-41.31456592,-15.12669438,-4.710089769,-5.355335541,4.686865429,-1.119681836,-0.083864659,0.05603076,0.025461822
2020,16,-22.67670663,-0.643314053,-3.864254535,-4.51465444,-16.67378877,-15.68052063,-6.065103152,-29.02387921,-11.47131332,-27.5505366,-28.29125236,-41.96048402,-16.60557834,4.05363131,-17.29719051,-14.79948726,-9.22660844,-19.18538775,1.288653916,-3.188001216,-1.413364093,0.09494956,0.044004285,0.03822722
2020,17,-16.95558092,-0.608070635,-3.1014883,-0.425451458,-16.61490434,-8.120196573,-12.9268332,-17.69981612,-21.65540615,-24.27763171,-27.29878118,-30.04270463,-12.44073586,-24.89330475,5.45870125,-9.24135269,-1.76724829,-27.17006102,-2.19933671,-1.56030215,1.270909537,0.060164399,-0.139321496,0.028503529
2020,18,-17.14809091,0.730017391,-0.852977981,-3.43301955,-12.36250823,-14.14698207,-22.43617258,-26.64558477,-19.20046522,-17.38455067,-27.47015618,-25.40486857,-9.29459831,-16.32079488,-26.64875153,-19.34287506,-1.29918084,-9.14443045,-5.61213412,3.221352377,-1.524919822,-0.240396845,-0.020960139,0.013893051
2020,19,-25.37955801,2.36264236,-1.682597662,-8.90678091,-6.513564934,-7.508870328,-4.018290708,-23.05317433,-5.081694564,-27.9343984,-26.56660606,-14.79614686,1.99845892,-1.11787828,-4.18999155,9.03111821,16.18416444,-7.828627546,6.138774101,-2.924821248,-1.057209324,0.848439198,0.030002339,0.04078378
2020,20,-21.0498428,2.410726012,-1.824141027,-10.70495229,-8.22589278,-8.480214822,-16.42000733,-22.86062906,0.895155024,-30.46339728,-13.27926859,-15.25138274,4.50819533,4.79807896,57.2045905,27.35352928,26.93153862,-6.05159692,10.52242437,-1.421489072,-0.404093835,-0.767267599,0.09201757,-0.101136469
2020,21,-13.17455905,0.993955558,-2.861510083,-3.848757419,-7.631269143,-0.670077477,-5.043837656,-7.409118536,20.66841073,-2.41164741,31.67186242,30.6057309,56.73905386,86.58608703,87.29073272,88.48412397,85.54509277,29.32483058,13.85605828,-8.919854925,1.467178969,-0.280839392,0.050926291,-0.042893669
2020,22,-10.00333026,-0.976898806,-1.287781874,-5.999407503,-15.96096762,-6.033402422,1.017679949,4.984791378,11.46200594,19.56149955,43.93821892,59.87896198,82.97395653,93.23354177,133.846083,55.96451241,64.4002074,34.42659513,15.87292493,0.348166871,1.434850089,-0.103658997,0.071324274,0.059580741
2020,23,-21.19246533,3.019573509,0.820134746,-4.775566883,-9.527032408,-0.358034687,-2.264393887,0.048885834,9.495731744,15.56671103,33.92520669,79.78570935,69.71994066,136.3934466,136.592725,84.44573208,80.60648501,52.46098527,19.62509533,1.12671329,2.674779238,-0.234872823,0.086840548,0.020284152
2020,24,-22.42883042,0.749777072,-2.827376904,-8.675431835,-9.055733381,-2.648114067,-2.506046443,0.57464404,28.17604148,15.59667491,28.9624498,60.70717448,62.77450941,84.19533581,109.5244006,66.05771599,43.32677532,24.74324971,18.17283455,6.161691007,2.687009805,-0.364854326,-0.072725939,0.04842161
2020,25,-18.10106436,-0.952293751,2.354591482,-6.519207893,-18.5924818,-19.00394879,-5.77678343,-16.64186725,-4.078569456,-5.29545129,23.36051683,27.39184368,55.41135795,88.07867412,117.6555784,81.79019757,97.95192407,43.78702646,16.09118041,1.027622827,2.910650115,0.273206934,0.0596734,0.049251439
2020,26,-17.01029812,0.422402785,-3.662908216,-11.11847423,-8.813173943,-16.72414522,-6.084647085,-9.527945734,17.59299637,0.04204744,22.47925201,34.78601154,85.05522352,80.97830578,82.95569064,57.54315195,61.79541456,24.09920913,21.17640402,1.919518165,0.886237757,-0.547936979,0.096993853,0.024357883
2020,27,-34.18372473,-2.356216746,-2.044132524,-8.247169478,-13.45113356,-13.84768636,-9.737800729,-4.200723235,3.86996336,4.038512062,3.29237448,39.87310187,67.42466002,39.04790206,32.51294447,47.29966408,34.78862599,-0.94468686,9.863143459,-0.393699641,0.386565692,-0.334121592,0.01945994,0.005590207
2020,28,-14.68340785,2.039037632,-4.685219819,-2.321642298,-6.114986011,-15.85197293,-12.59244079,-10.98299214,-5.565773749,-16.53964477,5.64100266,27.00605362,14.22541353,32.84834098,78.84036688,35.19585933,25.17582702,22.03757046,8.637767935,-1.024873625,2.780884368,-0.204940772,0.058043269,0.042356599
2020,29,-15.91411388,2.54676106,-1.970557577,-0.018505644,-12.81908812,0.240233637,-11.82781266,-15.30069565,-3.978583315,0.32462564,7.13390292,18.6083299,36.68635723,28.16924032,23.95089915,29.66044803,45.28719181,-12.02202431,13.59718778,-6.286597586,-0.332129382,0.847135537,-0.135303523,0.039397067
2020,30,-8.069986566,0.466785475,-3.878522942,-3.860846518,-3.482304632,-9.573136231,-0.267399565,-9.231957614,12.23523865,-12.41550114,17.64387558,19.19967734,26.71933883,37.90834652,19.14921379,46.57880583,22.78582349,12.32349773,19.56279701,-4.763391854,-0.121779771,1.020010189,-0.317751901,0.051273104
2020,31,-23.48938266,-1.952266978,-2.414836172,-5.033794519,-10.69961489,-1.267588819,-8.15417885,-11.64470891,6.164978045,11.92893548,29.96976144,39.25980268,24.32534471,18.65907705,35.16739577,12.47206085,-2.63107234,22.59458772,-3.025714839,-1.260493063,0.849610629,0.886044776,-0.00097397,0.012127518
2020,32,-21.70095089,2.255029413,0.930707806,-1.715768228,-9.109188762,-8.013763412,-6.544491015,-14.30923786,9.679994283,-2.731312585,19.47741933,20.39850168,-2.65044105,6.09847037,56.39050186,24.99105092,29.31267698,-2.260043865,5.975163317,-7.088124913,4.69638233,-0.263218671,0.038276686,0.042768831
2020,33,-16.32487453,2.510194476,-6.097588704,-9.884971041,-3.60589689,0.668288281,-9.083111269,11.7641608,4.60798342,1.78509221,20.88654014,40.71401945,30.63461492,12.11142987,100.7862812,53.36286277,15.96476768,9.480310821,7.921768833,1.193307026,0.539094145,-0.170306351,0.040519691,0.034006296
2020,34,-12.48125549,-1.140502045,3.053555309,-4.081295161,-7.265115995,-7.532382606,-2.510863973,11.65511898,6.032251886,-14.85429955,16.97830446,29.99522554,52.53825377,65.29258433,48.46947574,41.12439167,42.71197801,30.28483113,14.73853427,5.565137116,2.765945805,0.245842124,0.109132637,0.038604696
2020,35,-13.73401037,2.236844849,-2.682535215,-0.189519616,-12.21985923,-6.774438502,2.071493722,0.854687831,3.616854125,12.50714316,26.4157571,50.53865858,61.20262234,47.44614157,98.9015779,76.71367004,60.13739467,27.470063,7.88705043,6.994800654,0.053689107,1.946767023,0.020593251,0.055828214
2020,36,-8.221450625,0.59174864,-1.212679477,-10.21518803,-8.088402157,0.026876797,-8.687408244,-3.480270696,12.45523377,32.28668489,41.00404291,38.18130522,58.82082568,71.75471467,87.47688736,58.69343799,59.08132994,12.49976594,10.99435052,2.001896528,1.553663005,-0.361269904,1.069249461,0.016180856
2020,37,-26.36184821,5.309762363,-2.510989695,-5.831437832,-9.062157418,-3.049145282,0.420606877,-7.482645341,19.71341874,21.232295,29.16408734,25.30159662,42.55726094,25.77992472,35.68274513,19.06472862,22.13867346,4.33197406,-6.30607326,-0.984687382,-0.386288519,0.854137696,-0.00191204,0.069494264
2020,38,-13.84343,3.370290353,-1.156187281,5.37785286,0.558441729,3.572749254,0.958529908,1.769749977,6.782204434,20.58391118,30.15743718,43.92160072,91.46160126,34.35718996,60.52337442,9.93609104,39.7866402,11.6830447,3.407602666,-6.059021677,0.557468313,-0.16877422,-0.068410352,0.034507816
