Date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
01-01-2015,160.1691657,143.432572,209.6251251,160.1691657,160.1691657,17.33784274,17.33784274,17.33784274,-0.370210702,-0.370210702,-0.370210702,17.70805345,17.70805345,17.70805345,0,0,0,177.5070085
02-01-2015,160.1851233,141.4924783,211.8201922,160.1851233,160.1851233,17.69649977,17.69649977,17.69649977,-0.551400635,-0.551400635,-0.551400635,18.24790041,18.24790041,18.24790041,0,0,0,177.8816231
03-01-2015,160.2010808,144.0876788,213.1113367,160.2010808,160.2010808,16.77863444,16.77863444,16.77863444,-1.705808472,-1.705808472,-1.705808472,18.48444291,18.48444291,18.48444291,0,0,0,176.9797153
04-01-2015,160.2170384,141.1824647,210.7910299,160.2170384,160.2170384,15.86262091,15.86262091,15.86262091,-2.565063118,-2.565063118,-2.565063118,18.42768403,18.42768403,18.42768403,0,0,0,176.0796593
05-01-2015,160.232996,148.6733838,217.4462487,160.232996,160.232996,22.18274561,22.18274561,22.18274561,4.066748034,4.066748034,4.066748034,18.11599758,18.11599758,18.11599758,0,0,0,182.4157416
06-01-2015,160.2489535,146.5746179,211.7528445,160.2489535,160.2489535,18.83090289,18.83090289,18.83090289,1.219205056,1.219205056,1.219205056,17.61169783,17.61169783,17.61169783,0,0,0,179.0798564
07-01-2015,160.2649111,140.700811,212.2992659,160.2649111,160.2649111,16.90076431,16.90076431,16.90076431,-0.093470163,-0.093470163,-0.093470163,16.99423448,16.99423448,16.99423448,0,0,0,177.1656754
08-01-2015,160.2808687,142.6630101,208.5627966,160.2808687,160.2808687,15.98152858,15.98152858,15.98152858,-0.370210702,-0.370210702,-0.370210702,16.35173928,16.35173928,16.35173928,0,0,0,176.2623972
09-01-2015,160.2968262,143.2128613,211.3387296,160.2968262,160.2968262,15.22041299,15.22041299,15.22041299,-0.551400635,-0.551400635,-0.551400635,15.77181363,15.77181363,15.77181363,0,0,0,175.5172392
10-01-2015,160.3127838,142.2507563,208.9331178,160.3127838,160.3127838,13.62670503,13.62670503,13.62670503,-1.705808472,-1.705808472,-1.705808472,15.3325135,15.3325135,15.3325135,0,0,0,173.9394888
11-01-2015,160.3287413,139.083924,203.0632672,160.3287413,160.3287413,12.5293916,12.5293916,12.5293916,-2.565063118,-2.565063118,-2.565063118,15.09445472,15.09445472,15.09445472,0,0,0,172.8581329
12-01-2015,160.3446989,147.1132396,214.7281651,160.3446989,160.3446989,19.16157864,19.16157864,19.16157864,4.066748034,4.066748034,4.066748034,15.09483061,15.09483061,15.09483061,0,0,0,179.5062775
13-01-2015,160.3606565,143.9724762,213.9556596,160.3606565,160.3606565,16.56312737,16.56312737,16.56312737,1.219205056,1.219205056,1.219205056,15.34392232,15.34392232,15.34392232,0,0,0,176.9237838
14-01-2015,160.376614,143.6595703,210.2454829,160.376614,160.376614,15.73094179,15.73094179,15.73094179,-0.093470163,-0.093470163,-0.093470163,15.82441195,15.82441195,15.82441195,0,0,0,176.1075558
15-01-2015,160.3925716,142.6902088,209.8950195,160.3925716,160.3925716,16.12329993,16.12329993,16.12329993,-0.370210702,-0.370210702,-0.370210702,16.49351063,16.49351063,16.49351063,0,0,0,176.5158715
16-01-2015,160.4085292,140.4932068,210.6748755,160.4085292,160.4085292,16.73621931,16.73621931,16.73621931,-0.551400635,-0.551400635,-0.551400635,17.28761994,17.28761994,17.28761994,0,0,0,177.1447485
17-01-2015,160.4244867,144.2549253,212.3326042,160.4244867,160.4244867,16.42317874,16.42317874,16.42317874,-1.705808472,-1.705808472,-1.705808472,18.12898721,18.12898721,18.12898721,0,0,0,176.8476655
18-01-2015,160.4404443,144.8388956,211.5983294,160.4404443,160.4404443,16.36855677,16.36855677,16.36855677,-2.565063118,-2.565063118,-2.565063118,18.93361989,18.93361989,18.93361989,0,0,0,176.8090011
19-01-2015,160.4564018,152.1822915,216.1516674,160.4564018,160.4564018,23.68636021,23.68636021,23.68636021,4.066748034,4.066748034,4.066748034,19.61961218,19.61961218,19.61961218,0,0,0,184.1427621
20-01-2015,160.4723594,149.4950193,215.850952,160.4723594,160.4723594,21.33422266,21.33422266,21.33422266,1.219205056,1.219205056,1.219205056,20.1150176,20.1150176,20.1150176,0,0,0,181.8065821
21-01-2015,160.488317,143.3963126,212.8618926,160.488317,160.488317,20.27100505,20.27100505,20.27100505,-0.093470163,-0.093470163,-0.093470163,20.36447521,20.36447521,20.36447521,0,0,0,180.759322
22-01-2015,160.5042745,146.102663,215.0207338,160.5042745,160.5042745,19.96374326,19.96374326,19.96374326,-0.370210702,-0.370210702,-0.370210702,20.33395396,20.33395396,20.33395396,0,0,0,180.4680178
23-01-2015,160.5202321,147.6821253,210.7497543,160.5202321,160.5202321,19.46179944,19.46179944,19.46179944,-0.551400635,-0.551400635,-0.551400635,20.01320008,20.01320008,20.01320008,0,0,0,179.9820315
24-01-2015,160.5361897,146.7167981,211.9633657,160.5361897,160.5361897,17.70992238,17.70992238,17.70992238,-1.705808472,-1.705808472,-1.705808472,19.41573085,19.41573085,19.41573085,0,0,0,178.246112
25-01-2015,160.5521472,141.5848728,208.6794594,160.5521472,160.5521472,16.0114215,16.0114215,16.0114215,-2.565063118,-2.565063118,-2.565063118,18.57648461,18.57648461,18.57648461,0,0,0,176.5635687
26-01-2015,160.5681048,148.2474004,216.1708546,160.5681048,160.5681048,21.61423039,21.61423039,21.61423039,4.066748034,4.066748034,4.066748034,17.54748236,17.54748236,17.54748236,0,0,0,182.1823352
27-01-2015,160.5840623,144.6407629,211.0342071,160.5840623,160.5840623,17.61125868,17.61125868,17.61125868,1.219205056,1.219205056,1.219205056,16.39205362,16.39205362,16.39205362,0,0,0,178.195321
28-01-2015,160.6000199,142.1157519,210.685783,160.6000199,160.6000199,15.0848382,15.0848382,15.0848382,-0.093470163,-0.093470163,-0.093470163,15.17830836,15.17830836,15.17830836,0,0,0,175.6848581
29-01-2015,160.6159775,141.7516194,205.9011266,160.6159775,160.6159775,13.60237393,13.60237393,13.60237393,-0.370210702,-0.370210702,-0.370210702,13.97258464,13.97258464,13.97258464,0,0,0,174.2183514
30-01-2015,160.631935,140.4639191,206.0293283,160.631935,160.631935,12.28216621,12.28216621,12.28216621,-0.551400635,-0.551400635,-0.551400635,12.83356684,12.83356684,12.83356684,0,0,0,172.9141012
31-01-2015,160.6478926,138.1072644,203.7389274,160.6478926,160.6478926,10.10184877,10.10184877,10.10184877,-1.705808472,-1.705808472,-1.705808472,11.80765724,11.80765724,11.80765724,0,0,0,170.7497414
01-02-2015,160.6638502,134.9959101,203.2916528,160.6638502,160.6638502,8.360947771,8.360947771,8.360947771,-2.565063118,-2.565063118,-2.565063118,10.92601089,10.92601089,10.92601089,0,0,0,169.0247979
02-02-2015,160.6798077,143.889579,207.2105267,160.6798077,160.6798077,14.27018006,14.27018006,14.27018006,4.066748034,4.066748034,4.066748034,10.20343203,10.20343203,10.20343203,0,0,0,174.9499878
03-02-2015,160.6957653,138.5636287,204.9350121,160.6957653,160.6957653,10.85831069,10.85831069,10.85831069,1.219205056,1.219205056,1.219205056,9.63910563,9.63910563,9.63910563,0,0,0,171.554076
04-02-2015,160.7117228,132.9342388,203.776025,160.7117228,160.7117228,9.125456607,9.125456607,9.125456607,-0.093470163,-0.093470163,-0.093470163,9.21892677,9.21892677,9.21892677,0,0,0,169.8371795
05-02-2015,160.7276804,133.7774507,200.3018037,160.7276804,160.7276804,8.54880766,8.54880766,8.54880766,-0.370210702,-0.370210702,-0.370210702,8.919018362,8.919018362,8.919018362,0,0,0,169.2764881
06-02-2015,160.743638,136.1676334,202.1981676,160.743638,160.743638,8.158512159,8.158512159,8.158512159,-0.551400635,-0.551400635,-0.551400635,8.709912794,8.709912794,8.709912794,0,0,0,168.9021501
07-02-2015,160.7595955,132.5130933,200.9479964,160.7595955,160.7595955,6.855018967,6.855018967,6.855018967,-1.705808472,-1.705808472,-1.705808472,8.560827439,8.560827439,8.560827439,0,0,0,167.6146145
08-02-2015,160.7755531,134.4818577,198.1811018,160.7755531,160.7755531,5.878427622,5.878427622,5.878427622,-2.565063118,-2.565063118,-2.565063118,8.443490741,8.443490741,8.443490741,0,0,0,166.6539807
09-02-2015,160.7915107,138.4639274,209.3079495,160.7915107,160.7915107,12.4018168,12.4018168,12.4018168,4.066748034,4.066748034,4.066748034,8.335068766,8.335068766,8.335068766,0,0,0,173.1933275
10-02-2015,160.8074682,137.0397523,205.6581001,160.8074682,160.8074682,9.439093117,9.439093117,9.439093117,1.219205056,1.219205056,1.219205056,8.219888061,8.219888061,8.219888061,0,0,0,170.2465613
11-02-2015,160.8234258,136.6538147,203.1283588,160.8234258,160.8234258,7.996359109,7.996359109,7.996359109,-0.093470163,-0.093470163,-0.093470163,8.089829272,8.089829272,8.089829272,0,0,0,168.8197849
12-02-2015,160.8393833,133.7825071,202.0547448,160.8393833,160.8393833,7.573243013,7.573243013,7.573243013,-0.370210702,-0.370210702,-0.370210702,7.943453715,7.943453715,7.943453715,0,0,0,168.4126264
13-02-2015,160.8553409,133.1961952,201.8275356,160.8553409,160.8553409,7.232696986,7.232696986,7.232696986,-0.551400635,-0.551400635,-0.551400635,7.784097621,7.784097621,7.784097621,0,0,0,168.0880379
14-02-2015,160.8712985,131.3156068,200.5533469,160.8712985,160.8712985,5.911495721,5.911495721,5.911495721,-1.705808472,-1.705808472,-1.705808472,7.617304193,7.617304193,7.617304193,0,0,0,166.7827942
15-02-2015,160.887256,133.2793498,198.9587621,160.887256,160.887256,4.882981921,4.882981921,4.882981921,-2.565063118,-2.565063118,-2.565063118,7.448045039,7.448045039,7.448045039,0,0,0,165.770238
16-02-2015,160.9032136,136.8288498,204.544195,160.9032136,160.9032136,11.34494822,11.34494822,11.34494822,4.066748034,4.066748034,4.066748034,7.278200187,7.278200187,7.278200187,0,0,0,172.2481618
17-02-2015,160.9191712,137.6863953,206.2407028,160.9191712,160.9191712,8.323923326,8.323923326,8.323923326,1.219205056,1.219205056,1.219205056,7.10471827,7.10471827,7.10471827,0,0,0,169.2430945
18-02-2015,160.9351287,134.6771616,201.1408701,160.9351287,160.9351287,6.825302353,6.825302353,6.825302353,-0.093470163,-0.093470163,-0.093470163,6.918772516,6.918772516,6.918772516,0,0,0,167.7604311
19-02-2015,160.9510863,132.4114749,200.9699685,160.9510863,160.9510863,6.335867576,6.335867576,6.335867576,-0.370210702,-0.370210702,-0.370210702,6.706078278,6.706078278,6.706078278,0,0,0,167.2869539
20-02-2015,160.9670438,134.320139,199.527239,160.9670438,160.9670438,5.896963505,5.896963505,5.896963505,-0.551400635,-0.551400635,-0.551400635,6.44836414,6.44836414,6.44836414,0,0,0,166.8640073
