Date,Male,Female,Total
01-01-2010,54,20,74
02-01-2010,40,18,58
03-01-2010,38,28,66
04-01-2010,40,17,57
05-01-2010,38,18,56
06-01-2010,36,39,75
07-01-2010,68,22,90
08-01-2010,36,24,60
09-01-2010,45,21,66
10-01-2010,43,29,72
11-01-2010,45,26,71
12-01-2010,42,29,71
13-01-2010,31,30,61
14-01-2010,50,19,69
15-01-2010,46,28,74
16-01-2010,44,21,65
17-01-2010,35,25,60
18-01-2010,32,23,55
19-01-2010,40,24,64
20-01-2010,42,18,60
21-01-2010,41,23,64
22-01-2010,41,25,66
23-01-2010,33,16,49
24-01-2010,43,24,67
25-01-2010,28,18,46
26-01-2010,41,23,64
27-01-2010,36,25,61
28-01-2010,43,25,68
29-01-2010,44,20,64
30-01-2010,26,16,42
31-01-2010,39,15,54
01-02-2010,40,21,61
02-02-2010,41,27,68
03-02-2010,31,19,50
04-02-2010,34,22,56
05-02-2010,36,27,63
06-02-2010,38,18,56
07-02-2010,43,26,69
08-02-2010,32,14,46
09-02-2010,30,12,42
10-02-2010,37,17,54
11-02-2010,45,14,59
12-02-2010,41,21,62
13-02-2010,32,20,52
14-02-2010,29,19,48
15-02-2010,26,14,40
16-02-2010,47,18,65
17-02-2010,40,26,66
18-02-2010,28,27,55
19-02-2010,39,19,58
20-02-2010,39,18,57
21-02-2010,32,21,53
22-02-2010,31,15,46
23-02-2010,28,9,37
24-02-2010,51,19,70
25-02-2010,23,23,46
26-02-2010,27,17,44
27-02-2010,43,27,70
28-02-2010,25,17,42
01-03-2010,49,19,68
02-03-2010,28,12,40
03-03-2010,33,14,47
04-03-2010,26,23,49
05-03-2010,31,19,50
06-03-2010,23,17,40
07-03-2010,31,19,50
08-03-2010,28,17,45
09-03-2010,29,12,41
10-03-2010,24,10,34
11-03-2010,30,16,46
12-03-2010,32,16,48
13-03-2010,32,22,54
14-03-2010,34,15,49
15-03-2010,35,31,66
16-03-2010,21,10,31
17-03-2010,38,29,67
18-03-2010,36,18,54
19-03-2010,31,26,57
20-03-2010,32,19,51
21-03-2010,34,17,51
22-03-2010,20,19,39
23-03-2010,36,19,55
24-03-2010,29,15,44
25-03-2010,23,14,37
26-03-2010,22,18,40
27-03-2010,40,14,54
28-03-2010,31,10,41
29-03-2010,32,19,51
30-03-2010,33,18,51
31-03-2010,24,23,47
01-04-2010,34,8,42
02-04-2010,34,11,45
03-04-2010,28,14,42
04-04-2010,39,6,45
05-04-2010,32,14,46
06-04-2010,36,18,54
07-04-2010,24,31,55
08-04-2010,29,11,40
09-04-2010,28,15,43
10-04-2010,31,21,52
11-04-2010,35,25,60
12-04-2010,27,25,52
13-04-2010,32,27,59
14-04-2010,41,17,58
15-04-2010,40,18,58
16-04-2010,36,24,60
17-04-2010,35,19,54
18-04-2010,35,30,65
19-04-2010,47,30,77
20-04-2010,30,20,50
21-04-2010,40,19,59
22-04-2010,28,25,53
23-04-2010,33,10,43
24-04-2010,29,18,47
25-04-2010,26,15,41
26-04-2010,32,14,46
27-04-2010,24,18,42
28-04-2010,37,13,50
29-04-2010,26,25,51
30-04-2010,37,26,63
01-05-2010,24,11,35
02-05-2010,26,18,44
03-05-2010,23,10,33
04-05-2010,31,20,51
05-05-2010,18,19,37
06-05-2010,28,11,39
07-05-2010,38,13,51
08-05-2010,35,18,53
09-05-2010,25,17,42
10-05-2010,41,7,48
11-05-2010,26,23,49
12-05-2010,29,13,42
13-05-2010,29,22,51
14-05-2010,35,35,70
15-05-2010,24,15,39
16-05-2010,33,26,59
17-05-2010,28,16,44
18-05-2010,30,31,61
19-05-2010,28,25,53
20-05-2010,32,16,48
21-05-2010,23,19,42
22-05-2010,41,26,67
23-05-2010,27,30,57
24-05-2010,45,22,67
25-05-2010,38,27,65
26-05-2010,29,26,55
27-05-2010,35,25,60
28-05-2010,27,20,47
29-05-2010,28,18,46
30-05-2010,29,20,49
31-05-2010,15,23,38
01-06-2010,27,23,50
02-06-2010,29,22,51
03-06-2010,29,27,56
04-06-2010,30,14,44
05-06-2010,24,19,43
06-06-2010,27,13,40
07-06-2010,36,15,51
08-06-2010,34,15,49
09-06-2010,23,21,44
10-06-2010,34,15,49
11-06-2010,31,20,51
12-06-2010,31,24,55
13-06-2010,23,12,35
14-06-2010,25,15,40
15-06-2010,33,17,50
16-06-2010,23,22,45
17-06-2010,20,22,42
18-06-2010,31,17,48
19-06-2010,24,14,38
20-06-2010,35,19,54
21-06-2010,32,30,62
22-06-2010,40,31,71
23-06-2010,34,26,60
24-06-2010,32,16,48
25-06-2010,27,25,52
26-06-2010,19,12,31
27-06-2010,28,16,44
28-06-2010,26,17,43
29-06-2010,23,15,38
30-06-2010,20,16,36
01-07-2010,22,16,38
02-07-2010,28,18,46
03-07-2010,33,12,45
04-07-2010,37,17,54
05-07-2010,26,8,34
06-07-2010,28,16,44
07-07-2010,35,15,50
08-07-2010,32,13,45
09-07-2010,27,14,41
10-07-2010,21,22,43
11-07-2010,25,17,42
12-07-2010,34,12,46
13-07-2010,23,16,39
14-07-2010,29,15,44
15-07-2010,24,15,39
16-07-2010,24,16,40
17-07-2010,22,11,33
18-07-2010,25,11,36
19-07-2010,34,12,46
20-07-2010,32,9,41
21-07-2010,31,12,43
22-07-2010,17,17,34
23-07-2010,33,12,45
24-07-2010,29,17,46
25-07-2010,21,18,39
26-07-2010,26,18,44
27-07-2010,24,24,48
28-07-2010,22,21,43
29-07-2010,33,13,46
30-07-2010,44,15,59
31-07-2010,21,17,38
01-08-2010,34,19,53
02-08-2010,26,16,42
03-08-2010,29,20,49
04-08-2010,26,14,40
05-08-2010,25,14,39
06-08-2010,18,23,41
07-08-2010,38,17,55
08-08-2010,39,23,62
09-08-2010,31,18,49
10-08-2010,31,29,60
11-08-2010,38,13,51
12-08-2010,28,14,42
13-08-2010,33,19,52
14-08-2010,18,14,32
15-08-2010,31,17,48
16-08-2010,29,24,53
17-08-2010,40,18,58
18-08-2010,40,35,75
19-08-2010,21,20,41
20-08-2010,29,24,53
21-08-2010,30,17,47
22-08-2010,30,17,47
23-08-2010,26,20,46
24-08-2010,38,15,53
25-08-2010,35,30,65
26-08-2010,30,15,45
27-08-2010,37,15,52
28-08-2010,46,19,65
29-08-2010,47,21,68
30-08-2010,43,30,73
31-08-2010,33,28,61
01-09-2010,44,20,64
02-09-2010,33,13,46
03-09-2010,28,20,48
04-09-2010,42,24,66
05-09-2010,32,19,51
06-09-2010,42,33,75
07-09-2010,32,32,64
08-09-2010,39,27,66
09-09-2010,38,31,69
10-09-2010,46,34,80
11-09-2010,34,20,54
12-09-2010,30,21,51
13-09-2010,46,21,67
14-09-2010,39,19,58
15-09-2010,48,21,69
16-09-2010,32,26,58
17-09-2010,39,32,71
18-09-2010,50,36,86
19-09-2010,33,24,57
20-09-2010,26,13,39
21-09-2010,50,23,73
22-09-2010,49,22,71
23-09-2010,33,12,45
24-09-2010,48,28,76
25-09-2010,48,20,68
26-09-2010,36,23,59
27-09-2010,28,26,54
28-09-2010,41,29,70
29-09-2010,46,29,75
30-09-2010,38,20,58
01-10-2010,43,26,69
