Date,Male,Female,Total
2010-01-01,87,64,151
2010-01-02,81,62,143
2010-01-03,102,53,155
2010-01-04,99,75,174
2010-01-05,97,53,150
2010-01-06,87,42,129
2010-01-07,117,59,176
2010-01-08,95,56,151
2010-01-09,91,53,144
2010-01-10,111,80,191
2010-01-11,103,45,148
2010-01-12,103,53,156
2010-01-13,98,67,165
2010-01-14,89,60,149
2010-01-15,92,76,168
2010-01-16,87,67,154
2010-01-17,91,65,156
2010-01-18,98,64,162
2010-01-19,80,54,134
2010-01-20,99,60,159
2010-01-21,91,59,150
2010-01-22,104,44,148
2010-01-23,86,60,146
2010-01-24,75,55,130
2010-01-25,83,60,143
2010-01-26,87,48,135
2010-01-27,96,56,152
2010-01-28,98,62,160
2010-01-29,105,52,157
2010-01-30,67,66,133
2010-01-31,100,56,156
2010-02-01,68,65,133
2010-02-02,71,53,124
2010-02-03,88,55,143
2010-02-04,90,48,138
2010-02-05,81,49,130
2010-02-06,71,56,127
2010-02-07,99,52,151
2010-02-08,97,59,156
2010-02-09,72,41,113
2010-02-10,69,49,118
2010-02-11,67,54,121
2010-02-12,81,47,128
2010-02-13,79,47,126
2010-02-14,95,54,149
2010-02-15,77,44,121
2010-02-16,76,48,124
2010-02-17,64,44,108
2010-02-18,65,50,115
2010-02-19,91,52,143
2010-02-20,87,48,135
2010-02-21,103,53,156
2010-02-22,79,46,125
2010-02-23,72,58,130
2010-02-24,84,51,135
2010-02-25,67,50,117
2010-02-26,84,61,145
2010-02-27,82,48,130
2010-02-28,103,55,158
2010-03-01,85,56,141
2010-03-02,88,59,147
2010-03-03,83,50,133
2010-03-04,96,47,143
2010-03-05,66,52,118
2010-03-06,89,31,120
2010-03-07,65,33,98
2010-03-08,69,46,115
2010-03-09,87,58,145
2010-03-10,78,59,137
2010-03-11,67,36,103
2010-03-12,60,42,102
2010-03-13,77,45,122
2010-03-14,49,37,86
2010-03-15,87,41,128
2010-03-16,76,31,107
2010-03-17,77,49,126
2010-03-18,90,41,131
2010-03-19,68,34,102
2010-03-20,85,40,125
2010-03-21,81,48,129
2010-03-22,83,38,121
2010-03-23,68,54,122
2010-03-24,80,52,132
2010-03-25,97,40,137
2010-03-26,68,47,115
2010-03-27,67,47,114
2010-03-28,69,53,122
2010-03-29,64,49,113
2010-03-30,93,33,126
2010-03-31,58,54,112
2010-04-01,54,38,92
2010-04-02,71,43,114
2010-04-03,59,23,82
2010-04-04,77,56,133
2010-04-05,83,43,126
2010-04-06,66,40,106
2010-04-07,62,31,93
2010-04-08,52,34,86
2010-04-09,73,59,132
2010-04-10,66,50,116
2010-04-11,79,60,139
2010-04-12,99,40,139
2010-04-13,68,46,114
2010-04-14,59,57,116
2010-04-15,63,47,110
2010-04-16,76,50,126
2010-04-17,88,49,137
2010-04-18,73,56,129
2010-04-19,101,60,161
2010-04-20,82,46,128
2010-04-21,98,53,151
2010-04-22,69,51,120
2010-04-23,74,38,112
2010-04-24,62,32,94
2010-04-25,73,48,121
2010-04-26,85,45,130
2010-04-27,68,48,116
2010-04-28,73,37,110
2010-04-29,62,31,93
2010-04-30,60,45,105
2010-05-01,62,46,108
2010-05-02,63,27,90
2010-05-03,66,33,99
2010-05-04,49,47,96
2010-05-05,84,49,133
2010-05-06,90,38,128
2010-05-07,72,41,113
2010-05-08,62,32,94
2010-05-09,75,33,108
2010-05-10,85,29,114
2010-05-11,70,34,104
2010-05-12,89,38,127
2010-05-13,73,51,124
2010-05-14,98,41,139
2010-05-15,92,44,136
2010-05-16,74,41,115
2010-05-17,129,61,190
2010-05-18,85,72,157
2010-05-19,94,48,142
2010-05-20,96,43,139
2010-05-21,75,47,122
2010-05-22,84,68,152
2010-05-23,63,46,109
2010-05-24,84,44,128
2010-05-25,65,38,103
2010-05-26,93,46,139
2010-05-27,83,52,135
2010-05-28,97,52,149
2010-05-29,55,40,95
2010-05-30,53,43,96
2010-05-31,84,46,130
2010-06-01,75,43,118
2010-06-02,78,53,131
2010-06-03,69,60,129
2010-06-04,69,68,137
2010-06-05,74,47,121
2010-06-06,61,28,89
2010-06-07,72,38,110
2010-06-08,71,23,94
2010-06-09,53,50,103
2010-06-10,66,54,120
2010-06-11,57,40,97
2010-06-12,62,28,90
2010-06-13,58,50,108
2010-06-14,56,28,84
2010-06-15,77,51,128
2010-06-16,64,32,96
2010-06-17,63,38,101
2010-06-18,74,38,112
2010-06-19,72,52,124
2010-06-20,78,40,118
2010-06-21,83,51,134
2010-06-22,99,67,166
