Date,Male,Female,Total
01-01-2010,61,36,97
02-01-2010,76,48,124
03-01-2010,72,59,131
04-01-2010,81,37,118
05-01-2010,71,41,112
06-01-2010,81,57,138
07-01-2010,74,33,107
08-01-2010,96,23,119
09-01-2010,60,46,106
10-01-2010,70,52,122
11-01-2010,80,40,120
12-01-2010,89,41,130
13-01-2010,113,40,153
14-01-2010,85,63,148
15-01-2010,71,37,108
16-01-2010,66,62,128
17-01-2010,88,46,134
18-01-2010,66,43,109
19-01-2010,83,41,124
20-01-2010,70,46,116
21-01-2010,70,42,112
22-01-2010,59,62,121
23-01-2010,85,56,141
24-01-2010,75,48,123
25-01-2010,70,43,113
26-01-2010,68,68,136
27-01-2010,70,33,103
28-01-2010,64,57,121
29-01-2010,70,42,112
30-01-2010,75,39,114
31-01-2010,51,41,92
01-02-2010,53,28,81
02-02-2010,72,38,110
03-02-2010,57,35,92
04-02-2010,58,34,92
05-02-2010,63,32,95
06-02-2010,54,23,77
07-02-2010,65,61,126
08-02-2010,71,25,96
09-02-2010,49,26,75
10-02-2010,53,41,94
11-02-2010,52,30,82
12-02-2010,62,36,98
13-02-2010,60,33,93
14-02-2010,46,23,69
15-02-2010,59,50,109
16-02-2010,56,28,84
17-02-2010,58,21,79
18-02-2010,69,28,97
19-02-2010,63,21,84
20-02-2010,43,36,79
21-02-2010,76,40,116
22-02-2010,70,38,108
23-02-2010,59,29,88
24-02-2010,71,30,101
25-02-2010,50,26,76
26-02-2010,61,41,102
27-02-2010,66,39,105
28-02-2010,46,17,63
01-03-2010,56,30,86
02-03-2010,78,43,121
03-03-2010,54,25,79
04-03-2010,49,25,74
05-03-2010,47,29,76
06-03-2010,40,36,76
07-03-2010,44,33,77
08-03-2010,52,18,70
09-03-2010,63,24,87
10-03-2010,51,20,71
11-03-2010,51,29,80
12-03-2010,45,31,76
13-03-2010,49,24,73
14-03-2010,46,25,71
15-03-2010,50,25,75
16-03-2010,48,33,81
17-03-2010,58,45,103
18-03-2010,55,27,82
19-03-2010,61,29,90
20-03-2010,44,30,74
21-03-2010,53,23,76
22-03-2010,61,31,92
23-03-2010,51,24,75
24-03-2010,59,28,87
25-03-2010,35,34,69
26-03-2010,57,25,82
27-03-2010,60,26,86
28-03-2010,51,33,84
29-03-2010,46,17,63
30-03-2010,53,25,78
31-03-2010,49,34,83
01-04-2010,49,26,75
02-04-2010,58,25,83
03-04-2010,42,25,67
04-04-2010,44,30,74
05-04-2010,57,30,87
06-04-2010,60,24,84
07-04-2010,40,28,68
08-04-2010,53,40,93
09-04-2010,41,22,63
10-04-2010,58,44,102
11-04-2010,46,43,89
12-04-2010,45,35,80
13-04-2010,43,24,67
14-04-2010,46,26,72
15-04-2010,56,26,82
16-04-2010,57,36,93
17-04-2010,50,36,86
18-04-2010,75,39,114
19-04-2010,61,37,98
20-04-2010,67,35,102
21-04-2010,55,39,94
22-04-2010,45,30,75
23-04-2010,56,26,82
24-04-2010,61,26,87
25-04-2010,48,20,68
26-04-2010,50,33,83
27-04-2010,56,33,89
28-04-2010,57,34,91
29-04-2010,57,27,84
30-04-2010,44,36,80
01-05-2010,33,20,53
02-05-2010,38,29,67
03-05-2010,57,28,85
04-05-2010,52,25,77
05-05-2010,60,27,87
06-05-2010,44,22,66
07-05-2010,38,35,73
08-05-2010,53,35,88
09-05-2010,49,29,78
10-05-2010,35,23,58
11-05-2010,60,34,94
12-05-2010,51,20,71
13-05-2010,46,23,69
14-05-2010,49,25,74
15-05-2010,46,46,92
16-05-2010,58,19,77
17-05-2010,70,38,108
18-05-2010,63,32,95
19-05-2010,53,53,106
20-05-2010,46,30,76
21-05-2010,51,29,80
22-05-2010,46,28,74
23-05-2010,53,41,94
24-05-2010,64,28,92
25-05-2010,51,41,92
26-05-2010,44,38,82
27-05-2010,45,26,71
28-05-2010,48,22,70
29-05-2010,47,21,68
30-05-2010,42,25,67
31-05-2010,45,20,65
01-06-2010,58,28,86
02-06-2010,43,30,73
03-06-2010,45,34,79
04-06-2010,52,29,81
05-06-2010,48,21,69
06-06-2010,37,21,58
07-06-2010,37,22,59
08-06-2010,41,19,60
09-06-2010,34,28,62
10-06-2010,46,28,74
11-06-2010,45,21,66
12-06-2010,39,25,64
13-06-2010,43,24,67
14-06-2010,34,21,55
15-06-2010,37,25,62
16-06-2010,47,24,71
17-06-2010,37,17,54
18-06-2010,34,22,56
19-06-2010,41,37,78
20-06-2010,58,30,88
21-06-2010,57,25,82
22-06-2010,63,45,108
23-06-2010,66,46,112
24-06-2010,71,42,113
25-06-2010,58,24,82
26-06-2010,35,29,64
27-06-2010,49,24,73
28-06-2010,39,25,64
29-06-2010,51,34,85
30-06-2010,44,18,62
01-07-2010,41,26,67
02-07-2010,40,25,65
03-07-2010,43,27,70
04-07-2010,43,17,60
05-07-2010,37,10,47
06-07-2010,34,20,54
07-07-2010,43,27,70
08-07-2010,68,22,90
09-07-2010,55,34,89
10-07-2010,38,20,58
11-07-2010,52,25,77
12-07-2010,40,23,63
13-07-2010,49,37,86
14-07-2010,41,17,58
15-07-2010,60,23,83
16-07-2010,49,34,83
17-07-2010,24,26,50
18-07-2010,37,25,62
19-07-2010,39,35,74
20-07-2010,45,22,67
21-07-2010,48,31,79
22-07-2010,30,23,53
23-07-2010,42,23,65
24-07-2010,39,16,55
25-07-2010,34,20,54
26-07-2010,53,25,78
27-07-2010,46,28,74
28-07-2010,42,25,67
29-07-2010,47,35,82
30-07-2010,40,26,66
31-07-2010,36,19,55
01-08-2010,36,20,56
02-08-2010,31,30,61
03-08-2010,45,23,68
04-08-2010,45,30,75
05-08-2010,56,22,78
06-08-2010,48,24,72
07-08-2010,51,25,76
08-08-2010,57,31,88
09-08-2010,43,24,67
10-08-2010,55,22,77
11-08-2010,41,30,71
12-08-2010,45,24,69
13-08-2010,43,29,72
14-08-2010,47,30,77
15-08-2010,56,37,93
16-08-2010,50,23,73
17-08-2010,49,25,74
18-08-2010,54,39,93
19-08-2010,37,20,57
20-08-2010,45,25,70
21-08-2010,56,27,83
22-08-2010,60,30,90
23-08-2010,55,32,87
24-08-2010,57,35,92
25-08-2010,47,37,84
26-08-2010,61,33,94
27-08-2010,53,29,82
28-08-2010,64,39,103
29-08-2010,54,37,91
30-08-2010,51,26,77
31-08-2010,50,32,82
01-09-2010,56,44,100
02-09-2010,46,30,76
03-09-2010,61,33,94
04-09-2010,48,32,80
05-09-2010,52,27,79
06-09-2010,50,33,83
07-09-2010,51,34,85
08-09-2010,50,34,84
09-09-2010,61,43,104
10-09-2010,72,34,106
11-09-2010,56,39,95
12-09-2010,62,39,101
13-09-2010,54,42,96
14-09-2010,50,35,85
15-09-2010,51,34,85
16-09-2010,67,33,100
17-09-2010,55,43,98
18-09-2010,51,31,82
19-09-2010,66,36,102
20-09-2010,59,42,101
21-09-2010,67,52,119
22-09-2010,70,49,119
23-09-2010,73,34,107
24-09-2010,65,35,100
25-09-2010,80,33,113
26-09-2010,70,45,115
27-09-2010,62,36,98
28-09-2010,71,45,116
29-09-2010,62,39,101
30-09-2010,75,45,120
01-10-2010,56,29,85
02-10-2010,60,49,109
03-10-2010,76,38,114
04-10-2010,72,40,112
05-10-2010,65,43,108
06-10-2010,69,57,126
07-10-2010,75,40,115
08-10-2010,72,33,105
09-10-2010,74,50,124
10-10-2010,64,42,106
11-10-2010,67,35,102
12-10-2010,64,40,104
13-10-2010,66,47,113
14-10-2010,67,35,102
15-10-2010,66,45,111
16-10-2010,75,45,120
17-10-2010,59,46,105
18-10-2010,56,50,106
19-10-2010,82,37,119
20-10-2010,67,39,106
21-10-2010,62,43,105
22-10-2010,62,45,107
23-10-2010,58,39,97
24-10-2010,63,45,108
25-10-2010,68,48,116
