Date,Males,Females,Total_Deceased
2010-01-01,133,81,214
2010-01-02,118,78,196
2010-01-03,134,74,208
2010-01-04,114,89,203
2010-01-05,120,87,207
2010-01-06,125,70,195
2010-01-07,114,89,203
2010-01-08,124,89,213
2010-01-09,90,106,196
2010-01-10,134,67,201
2010-01-11,109,101,210
2010-01-12,118,69,187
2010-01-13,115,74,189
2010-01-14,121,83,204
2010-01-15,90,100,190
2010-01-16,104,78,182
2010-01-17,109,72,181
2010-01-18,127,79,206
2010-01-19,99,86,185
2010-01-20,105,96,201
2010-01-21,136,75,211
2010-01-22,128,97,225
2010-01-23,121,86,207
2010-01-24,107,84,191
2010-01-25,134,86,220
2010-01-26,130,82,212
2010-01-27,109,90,199
2010-01-28,123,86,209
2010-01-29,121,65,186
2010-01-30,109,69,178
2010-01-31,118,94,212
2010-02-01,105,71,176
2010-02-02,104,79,183
2010-02-03,101,72,173
2010-02-04,114,74,188
2010-02-05,104,73,177
2010-02-06,84,70,154
2010-02-07,105,56,161
2010-02-08,106,78,184
2010-02-09,136,75,211
2010-02-10,111,74,185
2010-02-11,87,69,156
2010-02-12,92,79,171
2010-02-13,95,71,166
2010-02-14,99,61,160
2010-02-15,93,62,155
2010-02-16,104,72,176
2010-02-17,86,60,146
2010-02-18,82,63,145
2010-02-19,88,58,146
2010-02-20,87,63,150
2010-02-21,92,61,153
2010-02-22,104,62,166
2010-02-23,103,69,172
2010-02-24,94,77,171
2010-02-25,76,64,140
2010-02-26,81,57,138
2010-02-27,79,50,129
2010-02-28,91,57,148
2010-03-01,95,79,174
2010-03-02,106,70,176
2010-03-03,118,57,175
2010-03-04,79,45,124
2010-03-05,90,59,149
2010-03-06,89,53,142
2010-03-07,87,56,143
2010-03-08,80,83,163
2010-03-09,62,55,117
2010-03-10,100,57,157
2010-03-11,76,65,141
2010-03-12,71,68,139
2010-03-13,87,60,147
2010-03-14,80,62,142
2010-03-15,79,60,139
2010-03-16,81,66,147
2010-03-17,65,55,120
2010-03-18,77,64,141
2010-03-19,79,48,127
2010-03-20,91,52,143
2010-03-21,88,58,146
2010-03-22,94,62,156
2010-03-23,98,59,157
2010-03-24,84,57,141
2010-03-25,66,64,130
2010-03-26,71,47,118
2010-03-27,82,50,132
2010-03-28,70,52,122
2010-03-29,76,37,113
2010-03-30,75,60,135
2010-03-31,74,50,124
2010-04-01,83,54,137
2010-04-02,68,51,119
2010-04-03,73,50,123
2010-04-04,76,47,123
2010-04-05,68,44,112
2010-04-06,74,50,124
2010-04-07,72,52,124
2010-04-08,70,41,111
2010-04-09,76,49,125
2010-04-10,73,50,123
2010-04-11,77,63,140
2010-04-12,82,55,137
2010-04-13,83,51,134
2010-04-14,73,47,120
2010-04-15,80,56,136
2010-04-16,60,55,115
2010-04-17,71,40,111
2010-04-18,76,74,150
2010-04-19,83,46,129
2010-04-20,87,44,131
2010-04-21,94,68,162
2010-04-22,78,62,140
2010-04-23,68,41,109
2010-04-24,70,59,129
2010-04-25,68,60,128
2010-04-26,69,42,111
2010-04-27,61,42,103
2010-04-28,85,44,129
2010-04-29,89,35,124
2010-04-30,85,59,144
2010-05-01,86,60,146
2010-05-02,74,48,122
2010-05-03,74,62,136
2010-05-04,54,49,103
2010-05-05,63,38,101
2010-05-06,67,45,112
2010-05-07,71,49,120
2010-05-08,70,63,133
2010-05-09,78,49,127
2010-05-10,83,62,145
2010-05-11,82,48,130
2010-05-12,83,59,142
2010-05-13,86,51,137
2010-05-14,79,45,124
2010-05-15,71,53,124
2010-05-16,92,42,134
2010-05-17,66,69,135
2010-05-18,75,50,125
2010-05-19,68,76,144
2010-05-20,78,44,122
2010-05-21,70,48,118
2010-05-22,66,42,108
2010-05-23,80,48,128
2010-05-24,67,51,118
2010-05-25,68,59,127
2010-05-26,82,69,151
2010-05-27,64,49,113
2010-05-28,80,42,122
2010-05-29,78,58,136
2010-05-30,73,74,147
2010-05-31,97,51,148
2010-06-01,95,68,163
2010-06-02,94,65,159
2010-06-03,72,55,127
2010-06-04,96,72,168
2010-06-05,83,43,126
2010-06-06,78,51,129
2010-06-07,83,64,147
2010-06-08,77,39,116
2010-06-09,86,52,138
2010-06-10,71,39,110
2010-06-11,69,55,124
2010-06-12,71,51,122
2010-06-13,80,31,111
2010-06-14,80,47,127
2010-06-15,74,60,134
2010-06-16,85,61,146
2010-06-17,81,39,120
2010-06-18,68,42,110
2010-06-19,84,54,138
2010-06-20,77,56,133
2010-06-21,62,51,113
2010-06-22,74,48,122
2010-06-23,75,53,128
2010-06-24,69,39,108
2010-06-25,77,56,133
2010-06-26,78,44,122
2010-06-27,77,47,124
2010-06-28,62,56,118
2010-06-29,66,60,126
2010-06-30,53,51,104
2010-07-01,76,54,130
2010-07-02,54,47,101
2010-07-03,70,50,120
2010-07-04,82,57,139
2010-07-05,59,56,115
2010-07-06,68,61,129
2010-07-07,78,57,135
2010-07-08,87,55,142
2010-07-09,87,74,161
2010-07-10,107,60,167
2010-07-11,79,60,139
2010-07-12,67,58,125
2010-07-13,72,53,125
2010-07-14,83,60,143
2010-07-15,81,67,148
2010-07-16,95,57,152
2010-07-17,93,51,144
2010-07-18,79,60,139
2010-07-19,76,49,125
2010-07-20,74,62,136
2010-07-21,84,50,134
2010-07-22,76,46,122
2010-07-23,78,38,116
2010-07-24,83,43,126
2010-07-25,79,49,128
2010-07-26,97,51,148
2010-07-27,82,56,138
2010-07-28,77,49,126
2010-07-29,99,52,151
2010-07-30,76,47,123
2010-07-31,67,34,101
2010-08-01,75,48,123
2010-08-02,89,58,147
2010-08-03,83,65,148
2010-08-04,76,53,129
2010-08-05,82,50,132
2010-08-06,88,56,144
2010-08-07,81,64,145
2010-08-08,71,47,118
2010-08-09,88,59,147
2010-08-10,79,60,139
2010-08-11,102,68,170
2010-08-12,62,61,123
2010-08-13,76,53,129
2010-08-14,63,71,134
2010-08-15,75,56,131
2010-08-16,79,59,138
2010-08-17,79,65,144
2010-08-18,75,69,144
2010-08-19,72,55,127
2010-08-20,73,41,114
2010-08-21,88,54,142
2010-08-22,80,57,137
2010-08-23,87,60,147
2010-08-24,90,58,148
2010-08-25,81,61,142
2010-08-26,72,57,129
2010-08-27,82,76,158
2010-08-28,63,46,109
2010-08-29,67,61,128
2010-08-30,85,52,137
2010-08-31,66,62,128
2010-09-01,68,55,123
2010-09-02,77,55,132
2010-09-03,92,43,135
2010-09-04,65,48,113
2010-09-05,66,62,128
2010-09-06,90,44,134
2010-09-07,63,58,121
2010-09-08,79,60,139
2010-09-09,79,51,130
2010-09-10,106,57,163
2010-09-11,91,54,145
2010-09-12,79,68,147
2010-09-13,83,52,135
2010-09-14,90,54,144
2010-09-15,63,47,110
2010-09-16,78,61,139
2010-09-17,88,48,136
2010-09-18,85,49,134
2010-09-19,81,45,126
2010-09-20,79,57,136
2010-09-21,88,67,155
2010-09-22,91,62,153
2010-09-23,76,46,122
2010-09-24,80,43,123
2010-09-25,67,56,123
2010-09-26,73,57,130
2010-09-27,100,64,164
2010-09-28,87,67,154
2010-09-29,87,59,146
2010-09-30,90,57,147
2010-10-01,90,62,152
2010-10-02,82,69,151
2010-10-03,90,63,153
2010-10-04,102,44,146
2010-10-05,86,52,138
2010-10-06,70,38,108
2010-10-07,85,48,133
2010-10-08,69,55,124
2010-10-09,77,53,130
2010-10-10,88,54,142
2010-10-11,88,55,143
2010-10-12,80,62,142
2010-10-13,80,60,140
2010-10-14,87,59,146
2010-10-15,82,56,138
2010-10-16,72,52,124
2010-10-17,95,62,157
2010-10-18,89,70,159
2010-10-19,95,65,160
2010-10-20,104,60,164
2010-10-21,98,66,164
2010-10-22,112,53,165
2010-10-23,88,46,134
2010-10-24,78,41,119
2010-10-25,88,55,143
2010-10-26,89,48,137
2010-10-27,92,71,163
2010-10-28,78,57,135
2010-10-29,89,66,155
2010-10-30,92,66,158
2010-10-31,96,58,154
2010-11-01,91,57,148
2010-11-02,82,65,147
2010-11-03,91,63,154
2010-11-04,82,74,156
2010-11-05,89,55,144
2010-11-06,106,62,168
2010-11-07,109,69,178
2010-11-08,96,58,154
2010-11-09,91,53,144
2010-11-10,84,78,162
2010-11-11,94,79,173
2010-11-12,92,65,157
2010-11-13,88,77,165
2010-11-14,103,53,156
2010-11-15,97,55,152
2010-11-16,104,52,156
2010-11-17,86,70,156
2010-11-18,107,60,167
2010-11-19,87,58,145
2010-11-20,70,44,114
2010-11-21,78,57,135
