Date,Male,Female,Total_deceased 
2010-01-01,48,29,77
2010-01-02,40,24,64
2010-01-03,34,28,62
2010-01-04,47,30,77
2010-01-05,38,23,61
2010-01-06,36,31,67
2010-01-07,43,16,59
2010-01-08,45,25,70
2010-01-09,46,36,82
2010-01-10,51,37,88
2010-01-11,44,39,83
2010-01-12,43,33,76
2010-01-13,35,16,51
2010-01-14,36,30,66
2010-01-15,39,33,72
2010-01-16,40,23,63
2010-01-17,62,34,96
2010-01-18,44,35,79
2010-01-19,44,21,65
2010-01-20,30,29,59
2010-01-21,32,37,69
2010-01-22,42,30,72
2010-01-23,45,30,75
2010-01-24,36,25,61
2010-01-25,34,29,63
2010-01-26,49,20,69
2010-01-27,51,43,94
2010-01-28,38,32,70
2010-01-29,37,36,73
2010-01-30,38,22,60
2010-01-31,42,31,73
2010-02-01,68,26,94
2010-02-02,40,22,62
2010-02-03,48,34,82
2010-02-04,32,22,54
2010-02-05,37,14,51
2010-02-06,51,34,85
2010-02-07,40,24,64
2010-02-08,57,34,91
2010-02-09,47,34,81
2010-02-10,33,30,63
2010-02-11,39,36,75
2010-02-12,40,27,67
2010-02-13,52,34,86
2010-02-14,37,32,69
2010-02-15,45,34,79
2010-02-16,52,33,85
2010-02-17,49,31,80
2010-02-18,46,33,79
2010-02-19,44,33,77
2010-02-20,40,30,70
2010-02-21,42,24,66
2010-02-22,45,27,72
2010-02-23,47,25,72
2010-02-24,39,25,64
2010-02-25,35,18,53
2010-02-26,33,30,63
2010-02-27,46,28,74
2010-02-28,36,27,63
2010-03-01,43,27,70
2010-03-02,38,29,67
2010-03-03,33,22,55
2010-03-04,44,12,56
2010-03-05,38,26,64
2010-03-06,38,35,73
2010-03-07,37,35,72
2010-03-08,43,33,76
2010-03-09,46,42,88
2010-03-10,45,36,81
2010-03-11,37,32,69
2010-03-12,67,25,92
2010-03-13,38,18,56
2010-03-14,23,28,51
2010-03-15,46,28,74
2010-03-16,34,25,59
2010-03-17,40,27,67
2010-03-18,28,37,65
2010-03-19,31,29,60
2010-03-20,36,26,62
2010-03-21,54,36,90
2010-03-22,52,22,74
2010-03-23,33,26,59
2010-03-24,50,26,76
2010-03-25,51,37,88
2010-03-26,28,30,58
2010-03-27,32,29,61
2010-03-28,34,28,62
2010-03-29,36,26,62
2010-03-30,27,35,62
2010-03-31,34,28,62
2010-04-01,42,31,73
2010-04-02,43,30,73
2010-04-03,23,18,41
2010-04-04,39,28,67
2010-04-05,51,27,78
2010-04-06,39,28,67
2010-04-07,52,41,93
2010-04-08,41,25,66
2010-04-09,43,29,72
2010-04-10,35,27,62
2010-04-11,38,22,60
2010-04-12,48,21,69
2010-04-13,46,31,77
2010-04-14,43,35,78
2010-04-15,59,34,93
2010-04-16,49,44,93
2010-04-17,34,30,64
2010-04-18,42,32,74
2010-04-19,41,44,85
2010-04-20,39,27,66
2010-04-21,31,28,59
2010-04-22,35,32,67
2010-04-23,46,36,82
2010-04-24,51,21,72
2010-04-25,46,18,64
2010-04-26,47,40,87
2010-04-27,43,25,68
2010-04-28,60,33,93
2010-04-29,51,32,83
2010-04-30,39,21,60
2010-05-01,38,35,73
2010-05-02,41,34,75
2010-05-03,38,37,75
2010-05-04,27,36,63
2010-05-05,41,22,63
2010-05-06,42,30,72
2010-05-07,33,20,53
2010-05-08,46,24,70
2010-05-09,48,32,80
2010-05-10,49,28,77
2010-05-11,60,21,81
2010-05-12,31,34,65
2010-05-13,42,34,76
2010-05-14,39,24,63
2010-05-15,42,21,63
2010-05-16,34,28,62
2010-05-17,28,28,56
2010-05-18,38,25,63
2010-05-19,54,43,97
2010-05-20,38,34,72
2010-05-21,38,18,56
2010-05-22,40,20,60
2010-05-23,31,24,55
2010-05-24,45,16,61
2010-05-25,30,32,62
2010-05-26,45,30,75
2010-05-27,36,32,68
2010-05-28,34,20,54
2010-05-29,45,31,76
2010-05-30,52,17,69
2010-05-31,36,22,58
2010-06-01,48,49,97
2010-06-02,38,30,68
2010-06-03,40,31,71
2010-06-04,44,29,73
2010-06-05,37,29,66
2010-06-06,32,29,61
2010-06-07,43,30,73
2010-06-08,57,27,84
2010-06-09,47,31,78
2010-06-10,59,32,91
2010-06-11,41,23,64
2010-06-12,33,29,62
2010-06-13,37,20,57
2010-06-14,49,26,75
2010-06-15,50,19,69
2010-06-16,41,16,57
2010-06-17,34,27,61
2010-06-18,53,25,78
2010-06-19,48,29,77
2010-06-20,27,28,55
2010-06-21,33,21,54
2010-06-22,36,28,64
2010-06-23,29,21,50
2010-06-24,42,21,63
2010-06-25,41,26,67
2010-06-26,40,33,73
2010-06-27,60,32,92
2010-06-28,35,25,60
2010-06-29,50,21,71
2010-06-30,33,27,60
2010-07-01,44,19,63
2010-07-02,45,33,78
2010-07-03,38,33,71
2010-07-04,41,20,61
2010-07-05,31,33,64
2010-07-06,40,18,58
2010-07-07,45,22,67
2010-07-08,48,40,88
2010-07-09,66,35,101
2010-07-10,57,37,94
2010-07-11,38,31,69
2010-07-12,46,23,69
2010-07-13,45,31,76
2010-07-14,37,29,66
2010-07-15,42,37,79
2010-07-16,43,32,75
2010-07-17,40,33,73
2010-07-18,64,21,85
2010-07-19,39,44,83
2010-07-20,42,35,77
2010-07-21,43,32,75
2010-07-22,50,22,72
2010-07-23,45,35,80
2010-07-24,38,33,71
2010-07-25,42,28,70
2010-07-26,45,33,78
2010-07-27,44,25,69
2010-07-28,50,32,82
2010-07-29,59,40,99
2010-07-30,51,35,86
2010-07-31,58,29,87
2010-08-01,36,27,63
2010-08-02,40,27,67
2010-08-03,39,23,62
2010-08-04,40,36,76
2010-08-05,37,19,56
2010-08-06,34,25,59
2010-08-07,32,38,70
2010-08-08,49,31,80
2010-08-09,45,31,76
2010-08-10,34,34,68
2010-08-11,46,28,74
